col,vif
log_jolts_ratio,14.002912727018936
unemployment_rate,8.457357719883914
quits_rate,7.386351032802522
cpi_12m_pct_lag_1,2.5840112030450375
consumer_sentiment,2.5441427318879013
fed_funds,1.9017943262640853
hy_oas,1.7553451753828357
