target_col,term,coefficient,t_value,p_value,target,horizon
wage_target_3,const,1.1932738418688391,0.5184722401296025,0.6056551529700206,Wage,3
wage_target_3,log_jolts_ratio,-0.06423587203276826,-0.08481430904236224,0.9326350125745686,Wage,3
wage_target_3,wage_target_3_lag,0.274712842161565,2.688633690601899,0.008835567040346912,Wage,3
wage_target_3,fed_funds,0.04593463867114744,0.7424504344103903,0.4601335113250811,Wage,3
wage_target_3,hy_oas,0.016620115530930603,0.48791455472451556,0.6270337204966676,Wage,3
wage_target_3,consumer_sentiment,-0.00760941592213894,-0.704261408270206,0.48345105034160984,Wage,3
wage_target_3,unemployment_rate,-0.10675588491582816,-0.5310376985685008,0.5969618048402288,Wage,3
wage_target_3,quits_rate,0.8870409469895355,1.0453542666571185,0.2992167841523668,Wage,3
wage_target_3,log_jolts_ratio_chg_1,2.0637693465735083,1.6264229990257595,0.10805440589086301,Wage,3
wage_target_3,log_jolts_ratio_chg_3,-0.5063730699089756,-0.4436261762361908,0.6585900784273565,Wage,3
wage_target_3,hy_oas_chg_1,-0.14496699529285423,-1.7505917202752477,0.08410547195191938,Wage,3
wage_target_3,fed_funds_chg_1,-0.10579024759449074,-0.2472960546859403,0.805354830206236,Wage,3
wage_target_6,const,-4.13652581442507,-1.0292996285294338,0.3078442935256326,Wage,6
wage_target_6,log_jolts_ratio,2.143800116750731,1.6485507241166726,0.10494106030374689,Wage,6
wage_target_6,wage_target_6_lag,1.1267057485552878,4.314298091092396,6.711653719674711e-05,Wage,6
wage_target_6,fed_funds,0.01226730269231743,0.12257102108289333,0.9028935880852892,Wage,6
wage_target_6,hy_oas,-0.060604503902392394,-1.039624580040186,0.3030631717020422,Wage,6
wage_target_6,consumer_sentiment,0.03643454826250359,1.7013884177293166,0.09451758164121918,Wage,6
wage_target_6,unemployment_rate,0.6509471063219358,1.899332547597842,0.06277011074028922,Wage,6
wage_target_6,quits_rate,-0.7829311450225984,-0.5517825816272541,0.5833324481253911,Wage,6
wage_target_6,log_jolts_ratio_chg_1,-0.4473518937944172,-0.20444607287988809,0.8387596103394872,Wage,6
wage_target_6,log_jolts_ratio_chg_3,-2.0613132410101764,-1.111662265275186,0.2711192429897853,Wage,6
wage_target_6,hy_oas_chg_1,-0.1668079177289471,-1.147730666529099,0.25604764726215345,Wage,6
wage_target_6,fed_funds_chg_1,-2.483365370362376,-3.6036988105383116,0.0006756135892207556,Wage,6
wage_target_12,const,-2.9461177111194488,-0.20782046055694786,0.8395405111408613,Wage,12
wage_target_12,log_jolts_ratio,8.695734213928944,1.8584205013543067,0.09275513533050923,Wage,12
wage_target_12,wage_target_12_lag,-1.7950068058348785,-1.3552268344706302,0.20516470964961905,Wage,12
wage_target_12,fed_funds,0.9006512696804286,1.941654164242347,0.0808590800306377,Wage,12
wage_target_12,hy_oas,0.16423059540633778,0.29229901321756985,0.7760326047072184,Wage,12
wage_target_12,consumer_sentiment,0.04192029895622607,1.0403006365257257,0.3226987928691855,Wage,12
wage_target_12,unemployment_rate,2.1285402085831633,2.506240019197052,0.03111241710885747,Wage,12
wage_target_12,quits_rate,-1.4210961785828213,-0.2968958883001967,0.7726212876568566,Wage,12
wage_target_12,log_jolts_ratio_chg_1,-8.67522902976921,-2.000500995509374,0.07332679137388763,Wage,12
wage_target_12,log_jolts_ratio_chg_3,5.880678385867398,0.7950536481158582,0.44504258469663016,Wage,12
wage_target_12,hy_oas_chg_1,0.43808215748097024,0.44590449710000085,0.6651653932624373,Wage,12
wage_target_12,fed_funds_chg_1,1.050160934371633,0.21121852173491912,0.8369590306473234,Wage,12
cpi_target_3,const,24.74804381174638,2.7304784136557276,0.016255999155961567,CPI,3
cpi_target_3,log_jolts_ratio,-0.3968174277905523,-0.23875666864702827,0.8147538051386272,CPI,3
cpi_target_3,cpi_target_3_lag,0.7899933483454344,7.245144555366492,4.25575917849798e-06,CPI,3
cpi_target_3,fed_funds,0.14331671734744816,0.6117992024447085,0.5504775105920634,CPI,3
cpi_target_3,hy_oas,-0.4277708727858137,-3.2703593873846466,0.005581961757767809,CPI,3
cpi_target_3,consumer_sentiment,-0.04743852164385948,-1.2946522969824155,0.2163865058693051,CPI,3
cpi_target_3,unemployment_rate,-0.8720937600365624,-1.4284566236101721,0.1750895980768479,CPI,3
cpi_target_3,quits_rate,-6.856174114544133,-2.2233522747402708,0.043166069912444614,CPI,3
cpi_target_3,log_jolts_ratio_chg_1,-4.106683701742202,-0.6150016822401955,0.5484202301192231,CPI,3
cpi_target_3,log_jolts_ratio_chg_3,-5.068335679790701,-1.2311377627764384,0.23855347522235637,CPI,3
cpi_target_3,hy_oas_chg_1,1.8857251953075327,4.124427913794155,0.0010317468401732604,CPI,3
cpi_target_3,fed_funds_chg_1,-0.34187378883536435,-0.3496992001022752,0.7317691284799933,CPI,3
cpi_target_6,const,-0.7900925404958485,-0.1851515844751998,0.8548866921545025,CPI,6
cpi_target_6,log_jolts_ratio,-0.5366309042352948,-0.5813087674748078,0.5672201071810885,CPI,6
cpi_target_6,cpi_target_6_lag,0.825367028092993,9.513579152133916,4.605407350174424e-09,CPI,6
cpi_target_6,fed_funds,0.4192633133734196,2.6242889973405794,0.015848774826025768,CPI,6
cpi_target_6,hy_oas,0.005228777143729296,0.050211856987473505,0.9604280931027497,CPI,6
cpi_target_6,consumer_sentiment,0.08623053088499243,3.429188499402855,0.0025192544938226137,CPI,6
cpi_target_6,unemployment_rate,-0.0507216887603367,-0.16508533701733086,0.8704556481982755,CPI,6
cpi_target_6,quits_rate,-3.568852837531134,-2.4474807574017534,0.02326484108154146,CPI,6
cpi_target_6,log_jolts_ratio_chg_1,3.224843185564649,1.2067199677013063,0.24095825572030108,CPI,6
cpi_target_6,log_jolts_ratio_chg_3,-2.013315528418479,-0.6207892808728125,0.5414180637716608,CPI,6
cpi_target_6,hy_oas_chg_1,0.16223060933760403,0.48290492227836296,0.6341593288182215,CPI,6
cpi_target_6,fed_funds_chg_1,1.3627232016467339,0.9849711291728391,0.3358513957775354,CPI,6
cpi_target_12,const,-4.640801850548389,-1.3117245909404032,0.20255621929898499,CPI,12
cpi_target_12,log_jolts_ratio,0.4169985573754204,0.6586411072508789,0.5166661181229099,CPI,12
cpi_target_12,cpi_target_12_lag,0.732611367308531,7.133477348892056,2.8917397680496576e-07,CPI,12
cpi_target_12,fed_funds,0.16272742086016723,1.8748502530608078,0.07356835540778528,CPI,12
cpi_target_12,hy_oas,-0.015256354209285117,-0.2061343293792314,0.8384997633348377,CPI,12
cpi_target_12,consumer_sentiment,0.025292036438044778,1.7038425560841899,0.10188606211761939,CPI,12
cpi_target_12,unemployment_rate,0.3116877020721846,1.4395812307968108,0.16345855706413084,CPI,12
cpi_target_12,quits_rate,0.6007335532206726,0.4463787430340098,0.6594980854649437,CPI,12
cpi_target_12,log_jolts_ratio_chg_1,3.5990998803113445,1.7721340262206555,0.0896209887039069,CPI,12
cpi_target_12,log_jolts_ratio_chg_3,-1.5934427789302568,-0.7144600632671325,0.4821317169078053,CPI,12
cpi_target_12,hy_oas_chg_1,-0.03547280321821339,-0.1993114272275241,0.8437706728757347,CPI,12
cpi_target_12,fed_funds_chg_1,-0.07797825279498216,-0.12697113925413495,0.9000667691802304,CPI,12
pce_target_3,const,-24.70240297750161,-2.141332511400162,0.051768853667643375,PCE,3
pce_target_3,log_jolts_ratio,0.024618016794762942,0.013712649566801714,0.9892674444781624,PCE,3
pce_target_3,pce_target_3_lag,0.5928040647307494,2.5078121542846055,0.026199850741638903,PCE,3
pce_target_3,fed_funds,0.652895647783152,2.0331579241465603,0.06297841600668583,PCE,3
pce_target_3,hy_oas,0.27307286171993167,0.9326012456821684,0.3680239652370209,PCE,3
pce_target_3,consumer_sentiment,0.07010999025751882,1.837045433719695,0.08916477220602381,PCE,3
pce_target_3,unemployment_rate,1.4111289643422962,2.171342055268959,0.04900621578359121,PCE,3
pce_target_3,quits_rate,4.655210554582043,1.0493844912191874,0.3131190451542382,PCE,3
pce_target_3,log_jolts_ratio_chg_1,0.35381203562496566,0.08314836108985824,0.9350002705136553,PCE,3
pce_target_3,log_jolts_ratio_chg_3,8.568032792656892,1.5674773248463783,0.14101348456457044,PCE,3
pce_target_3,hy_oas_chg_1,-0.43990768762488464,-1.106234215465435,0.28867661554443713,PCE,3
pce_target_3,fed_funds_chg_1,-1.9152194358540813,-0.8440793126961732,0.4138884453747697,PCE,3
pce_target_6,const,0.18576036107213484,0.05116743505253904,0.9595687751038132,PCE,6
pce_target_6,log_jolts_ratio,-0.3183350748563898,-0.4449303632765675,0.659916637173741,PCE,6
pce_target_6,pce_target_6_lag,1.0539571313485252,12.544966429599341,8.922394836377784e-13,PCE,6
pce_target_6,fed_funds,-0.06359649848463655,-0.5600341653547087,0.5800734304137114,PCE,6
pce_target_6,hy_oas,0.12773350829142768,2.014891549201418,0.05397343164666169,PCE,6
pce_target_6,consumer_sentiment,-0.030387873678169336,-1.6096657911404884,0.11910218270075185,PCE,6
pce_target_6,unemployment_rate,-0.12789027361518968,-0.4926806761547567,0.6262211102768365,PCE,6
pce_target_6,quits_rate,1.1843663820270471,0.8636211508764968,0.3954033653581989,PCE,6
pce_target_6,log_jolts_ratio_chg_1,-0.5725218961596878,-0.24152971337403545,0.8109695382115688,PCE,6
pce_target_6,log_jolts_ratio_chg_3,3.2062142147827535,1.6575985302040281,0.10897424549490875,PCE,6
pce_target_6,hy_oas_chg_1,0.27471519493616336,1.9921685852920519,0.05655371114329568,PCE,6
pce_target_6,fed_funds_chg_1,-0.25270193081659453,-0.3162610218739814,0.7542364836328352,PCE,6
pce_target_12,const,-7.243879610074479,-2.6701705554716897,0.013132634474166889,PCE,12
pce_target_12,log_jolts_ratio,0.03467778844203939,0.059824141764479366,0.9527713627562059,PCE,12
pce_target_12,pce_target_12_lag,0.8338146299920858,10.49064542212135,1.2089679628056783e-10,PCE,12
pce_target_12,fed_funds,0.0467625633656268,0.48746577722193013,0.6301756575100781,PCE,12
pce_target_12,hy_oas,0.08569743942246574,1.821970025339606,0.08044543288472515,PCE,12
pce_target_12,consumer_sentiment,0.025013971185353694,1.8417979897874486,0.07739917233567076,PCE,12
pce_target_12,unemployment_rate,0.36441978509912326,1.7463917598539513,0.09302098847172195,PCE,12
pce_target_12,quits_rate,1.3910476502238893,1.2504447723322059,0.22271495490500842,PCE,12
pce_target_12,log_jolts_ratio_chg_1,-0.3946307301703593,-0.25442633062887304,0.801247340246605,PCE,12
pce_target_12,log_jolts_ratio_chg_3,1.0540550450883281,0.802849651373319,0.42962865587530685,PCE,12
pce_target_12,hy_oas_chg_1,0.2383641988280678,1.1892796261741403,0.24550303245034213,PCE,12
pce_target_12,fed_funds_chg_1,0.3896587291017015,0.5361304470484934,0.5966069688278428,PCE,12
