target_name,split_name,feature_name,importance_name,importance_value,importance_type
wage_target_12,pre_train,macro,log_jolts_ratio_std_6,-0.020680690371024497,coefficient
wage_target_12,pre_train,macro,quits_rate,0.028870826624587217,coefficient
wage_target_12,pre_train,macro,quits_rate_chg_1,0.007690605816666195,coefficient
wage_target_12,pre_train,macro,quits_rate_chg_3,-0.014023838023480107,coefficient
wage_target_12,pre_train,macro,quits_rate_chg_6,-0.015413918737740324,coefficient
wage_target_12,pre_train,macro,quits_rate_lag_1,0.01605315026347694,coefficient
wage_target_12,pre_train,macro,quits_rate_lag_3,0.031208132961833952,coefficient
wage_target_12,pre_train,macro,quits_rate_lag_6,0.031439813080876955,coefficient
wage_target_12,pre_train,macro,unemployment_rate,-0.0019074732742354798,coefficient
wage_target_12,pre_train,macro,unemployment_rate_chg_1,-0.0003541529444121408,coefficient
wage_target_12,pre_train,macro,unemployment_rate_chg_3,-0.025307529111103816,coefficient
wage_target_12,pre_train,macro,unemployment_rate_chg_6,0.01603516171689522,coefficient
wage_target_12,pre_train,macro,unemployment_rate_lag_1,-0.0019276774439380927,coefficient
wage_target_12,pre_train,macro,unemployment_rate_lag_3,0.00017621854052373505,coefficient
wage_target_12,pre_train,macro,unemployment_rate_lag_6,-0.0037679837007658142,coefficient
pce_target_6,pre_train,state,consumer_sentiment,0.0,coefficient
pce_target_6,pre_train,state,consumer_sentiment_chg_1,-0.0,coefficient
pce_target_6,pre_train,state,consumer_sentiment_chg_3,0.0,coefficient
pce_target_6,pre_train,state,consumer_sentiment_lag_1,0.0,coefficient
pce_target_6,pre_train,state,consumer_sentiment_lag_3,0.0,coefficient
pce_target_6,pre_train,state,credit_stress,0.0,coefficient
pce_target_6,pre_train,state,fed_funds,0.0,coefficient
pce_target_6,pre_train,state,fed_funds_chg_1,0.01764239153070533,coefficient
pce_target_6,pre_train,state,fed_funds_chg_3,0.0,coefficient
pce_target_6,pre_train,state,fed_funds_lag_1,0.0,coefficient
pce_target_6,pre_train,state,fed_funds_lag_3,0.0,coefficient
pce_target_6,pre_train,state,high_inflation,0.0,coefficient
pce_target_6,pre_train,state,hy_oas,-0.0,coefficient
pce_target_6,pre_train,state,hy_oas_chg_1,-0.0,coefficient
pce_target_6,pre_train,state,hy_oas_chg_3,-0.0,coefficient
pce_target_6,pre_train,state,hy_oas_lag_1,-0.0,coefficient
pce_target_6,pre_train,state,hy_oas_lag_3,-0.0,coefficient
pce_target_6,pre_train,state,jolts_ratio,-0.0,coefficient
pce_target_6,pre_train,state,jolts_ratio_lag_1,-0.0,coefficient
pce_target_6,pre_train,state,jolts_ratio_lag_3,-0.0,coefficient
pce_target_6,pre_train,state,jolts_ratio_lag_6,-0.0,coefficient
pce_target_6,pre_train,state,log_jolts_ratio,0.0,coefficient
pce_target_6,pre_train,state,log_jolts_ratio_chg_1,0.0,coefficient
pce_target_6,pre_train,state,log_jolts_ratio_chg_3,0.0,coefficient
pce_target_6,pre_train,state,log_jolts_ratio_chg_6,0.0,coefficient
pce_target_6,pre_train,state,log_jolts_ratio_lag_1,0.0,coefficient
pce_target_6,pre_train,state,log_jolts_ratio_lag_3,-0.0,coefficient
pce_target_6,pre_train,state,log_jolts_ratio_lag_6,-0.0,coefficient
pce_target_6,pre_train,state,log_jolts_ratio_std_12,-0.0,coefficient
pce_target_6,pre_train,state,log_jolts_ratio_std_3,-0.0,coefficient
pce_target_6,pre_train,state,log_jolts_ratio_std_6,-0.0,coefficient
pce_target_6,pre_train,state,quits_rate,0.0,coefficient
pce_target_6,pre_train,state,quits_rate_chg_1,0.0,coefficient
pce_target_6,pre_train,state,quits_rate_chg_3,0.0,coefficient
pce_target_6,pre_train,state,quits_rate_chg_6,0.0,coefficient
pce_target_6,pre_train,state,quits_rate_lag_1,0.0,coefficient
pce_target_6,pre_train,state,quits_rate_lag_3,0.0,coefficient
pce_target_6,pre_train,state,quits_rate_lag_6,0.0,coefficient
pce_target_6,pre_train,state,tight_labor,0.0,coefficient
pce_target_6,pre_train,state,unemployment_rate,0.0,coefficient
pce_target_6,pre_train,state,unemployment_rate_chg_1,-0.0,coefficient
pce_target_6,pre_train,state,unemployment_rate_chg_3,-0.0,coefficient
pce_target_6,pre_train,state,unemployment_rate_chg_6,-0.0,coefficient
pce_target_6,pre_train,state,unemployment_rate_lag_1,0.0,coefficient
pce_target_6,pre_train,state,unemployment_rate_lag_3,0.0,coefficient
pce_target_6,pre_train,state,unemployment_rate_lag_6,0.0,coefficient
