target_col,target,horizon,model,regime,rmse,mae,oos_r2,row_count,fold_count
cpi_target_6,CPI,6,ElasticNet,post,0.32872323378619595,0.32872323378619595,0.32278704916296336,4,4
pce_target_6,PCE,6,Huber,post,0.31830585719174964,0.31830585719174964,-0.0419056172314339,3,3
pce_target_12,PCE,12,Persistence,post,0.6006460731616088,0.5915903207546277,0.0,3,1
wage_target_3,Wage,3,Persistence,post,0.3927852486646958,0.3353178618031194,0.0,8,4
wage_target_6,Wage,6,Ridge,post,0.372391199420894,0.31518850249036817,0.17267134823863856,10,5
wage_target_12,Wage,12,Persistence,post,0.19982239943318045,0.19337433861508657,0.0,5,1
