target_name,feature_name
wage_target_6,ahe_private_12m_pct_lag_3
wage_target_6,ahe_private_12m_pct_lag_6
wage_target_6,ahe_private_12m_pct_lag_12
wage_target_6,log_jolts_ratio_chg_1
wage_target_6,log_jolts_ratio_chg_3
wage_target_6,unemployment_rate_chg_1
wage_target_6,quits_rate_chg_1
wage_target_6,fed_funds_chg_1
wage_target_6,log_jolts_ratio_x_post_regime
wage_target_6,log_jolts_ratio_x_high_inflation
wage_target_6,jolts_x_unemployment
