target_name,model_name,rmse_mean,rmse_std,mae_mean,mae_std,fold_count
price_target_0,ElasticNet,0.6039769667002278,0.11614901839167173,0.46264548884916845,0.09288039587252245,5
price_target_0,Ridge,0.7143054189129922,0.21112885111399646,0.5735815863725438,0.18034683121069942,5
price_target_0,OLS,0.745901703091123,0.2558002007683382,0.5995212895452542,0.20616487794130056,5
price_target_0,ARIMAX,1.117461023103469,0.252472996634346,0.8684915894306815,0.28375528242265163,5
price_target_0,Persistence,1.9943181828574275,1.3263455802469122,1.6257397436276246,1.2061284562140229,5
price_target_12,Persistence,2.1467556531382477,1.3515590678601574,1.8030743430286453,1.2924263747910225,5
price_target_12,ElasticNet,2.1808243903319697,0.5270318212052764,1.7478968796063885,0.36066571729221925,5
price_target_12,ARIMAX,2.3183853237685534,1.1820572140156393,1.8518606457412268,1.112763628851623,5
price_target_12,Ridge,2.4643980118088344,1.0266609682298395,1.9753828622188165,0.9804450297017189,5
price_target_12,OLS,2.5331593651208535,1.283789874743956,2.0198153296947003,1.1248566536261142,5
price_target_3,ElasticNet,1.779335044999262,0.5276725519234488,1.40216486583078,0.4422435011857906,5
price_target_3,Ridge,2.0857576538401887,0.6020049719434583,1.629488209125935,0.4152462857931541,5
price_target_3,OLS,2.2671319659899765,0.7653798631159286,1.7515767211628677,0.5144263718451445,5
price_target_3,Persistence,2.3596631130396233,1.4130069267524137,1.9213524480510529,1.365640771098799,5
price_target_3,ARIMAX,2.8010232460823823,2.0002595961657,2.23012028061811,1.4265848430106096,5
price_target_6,ElasticNet,2.0095421772012374,0.542758795791284,1.6411712426862883,0.47002638366185145,5
price_target_6,Ridge,2.0459822137725565,0.2362533436791405,1.6919865496568338,0.2428495553007057,5
price_target_6,OLS,2.1343988138043555,0.1071763065564487,1.7558787949945842,0.22333800675633278,5
price_target_6,ARIMAX,2.3302668496117986,0.8620647292486388,1.9344014133659555,0.8066070328343579,5
price_target_6,Persistence,2.3596631130396233,1.4130069267524137,1.9213524480510529,1.365640771098799,5
wage_target_0,ElasticNet,0.38722873878359104,0.4875632019229015,0.27495480865602373,0.31124716555640514,5
wage_target_0,Ridge,0.5750402101384481,0.6116570766751166,0.46438045116150894,0.49532872664973626,5
wage_target_0,OLS,0.6647754757032714,0.6337746704839432,0.535525857582797,0.5376611840204499,5
wage_target_0,Persistence,0.6951763114447628,0.6303269259270503,0.6202683784740403,0.5924181780095783,5
wage_target_0,ARIMAX,0.9495401378129962,1.0304538312575582,0.797148383368502,0.9196302275834812,5
wage_target_12,Persistence,0.6730337917816968,0.3976591852841404,0.46768048459394346,0.15978034152807732,5
wage_target_12,ARIMAX,0.8552699015875053,0.7135606085821325,0.6877582539353461,0.6604915713981102,5
wage_target_12,ElasticNet,0.9023227613129071,0.7703240575837281,0.7513610508808398,0.7440944274513097,5
wage_target_12,Ridge,1.1043302026061568,1.0289697745257786,0.9196496441482488,0.9913785660467919,5
wage_target_12,OLS,1.1396460742289156,1.013172176268248,0.9440727044186292,0.9667042273310242,5
wage_target_3,ElasticNet,0.5855567100219052,0.4736383536972827,0.38489526291895687,0.3351065050868896,5
wage_target_3,Ridge,0.6317603487300911,0.5029122193128213,0.43565040480065964,0.37787612682819066,5
wage_target_3,OLS,0.662863163483189,0.4825797725208291,0.4641190182845504,0.36339290492374604,5
wage_target_3,ARIMAX,0.666651708395577,0.4131653695702111,0.46864793933589627,0.2799395773831185,5
wage_target_3,Persistence,0.8660604419917346,0.7248362871765268,0.6945676978675637,0.6084515728051952,5
wage_target_6,ElasticNet,0.716353312851827,0.5227775558129798,0.5282354742996828,0.45283799404818664,5
wage_target_6,ARIMAX,0.793699702189515,0.5201664430592511,0.6130953122670995,0.4186044182835985,5
wage_target_6,Ridge,0.8611640404647318,0.4984362183898973,0.645268414541259,0.4327993662787419,5
wage_target_6,Persistence,0.8660604419917346,0.7248362871765268,0.6945676978675637,0.6084515728051952,5
wage_target_6,OLS,0.9242760026579486,0.5116520285225474,0.7325973039577053,0.4650266090010537,5
