target,target_col,horizon,signal,regime,term,coefficient,t_value,p_value
Wage,wage_target_3,3,jolts,pre,log_jolts_ratio,0.5547058423876478,4.23781667654937,2.2570394087343168e-05
Wage,wage_target_3,3,jolts,post,log_jolts_ratio,0.15491864811703993,0.10282407482148888,0.9181025975918786
Wage,wage_target_3,3,unemployment,pre,unemployment_rate,-0.1698051981691135,-4.298668648255599,1.7182712980836272e-05
Wage,wage_target_3,3,unemployment,post,unemployment_rate,0.00595245395202415,0.007164662611231101,0.9942834752263259
Wage,wage_target_3,3,quits,pre,quits_rate,1.1227371121556673,4.074904481508176,4.6033237684739435e-05
Wage,wage_target_3,3,quits,post,quits_rate,-0.30676920189886037,-0.2849133735672159,0.7757105098238074
Wage,wage_target_3,3,fed_funds,pre,fed_funds,0.13653215064688176,3.0638923131385987,0.002184775377446106
Wage,wage_target_3,3,fed_funds,post,fed_funds,-0.08058217053302869,-1.8353721484375742,0.06645056753471468
Wage,wage_target_3,3,lagged_target,pre,wage_target_3_lag,0.5953939123079259,10.080073217785507,6.76756746623996e-24
Wage,wage_target_3,3,lagged_target,post,wage_target_3_lag,0.5547510078587962,5.756588562907938,8.583076170594887e-09
Wage,wage_target_6,6,jolts,pre,log_jolts_ratio,0.26401485073609277,1.2685860629764405,0.2045887376834442
Wage,wage_target_6,6,jolts,post,log_jolts_ratio,1.1029998756889592,3.892584072646314,9.918211177051283e-05
Wage,wage_target_6,6,unemployment,pre,unemployment_rate,-0.06125164335683814,-0.8664462699220524,0.3862454793106235
Wage,wage_target_6,6,unemployment,post,unemployment_rate,-0.16229133783261784,-1.3220720255393825,0.18614416804712297
Wage,wage_target_6,6,quits,pre,quits_rate,0.4932229667838027,1.1169021184277044,0.2640361787588599
Wage,wage_target_6,6,quits,post,quits_rate,1.0325755615682026,2.2931256812303453,0.02184077025326776
Wage,wage_target_6,6,fed_funds,pre,fed_funds,-0.07159595381803863,-0.6144425294137986,0.5389229392027759
Wage,wage_target_6,6,fed_funds,post,fed_funds,0.03203148154250435,0.4786717168289339,0.6321721896612141
Wage,wage_target_6,6,lagged_target,pre,wage_target_6_lag,1.1034162274657986,3.5067249657913298,0.00045365778028585573
Wage,wage_target_6,6,lagged_target,post,wage_target_6_lag,0.730385854639819,14.727415293582254,4.298337538947707e-49
Wage,wage_target_12,12,jolts,pre,log_jolts_ratio,1.427227319916518,2.400354142250825,0.016379216889641907
Wage,wage_target_12,12,jolts,post,log_jolts_ratio,-0.7801167962310869,-1.7425853219462304,0.08140607578145456
Wage,wage_target_12,12,unemployment,pre,unemployment_rate,-0.28334154836701547,-2.1982973074140086,0.027927926166211803
Wage,wage_target_12,12,unemployment,post,unemployment_rate,0.5562140940148881,11.492039746924513,1.446554325572787e-30
Wage,wage_target_12,12,quits,pre,quits_rate,2.0511834638509185,3.435235492450625,0.0005920391072724581
Wage,wage_target_12,12,quits,post,quits_rate,-1.9429053434247692,-5.36182813383987,8.238390487221268e-08
Wage,wage_target_12,12,fed_funds,pre,fed_funds,0.24075788967033945,1.2836263675612087,0.19927271927191414
Wage,wage_target_12,12,fed_funds,post,fed_funds,-0.032662461477647266,-1.3316116852602098,0.1829878231101859
Wage,wage_target_12,12,lagged_target,pre,wage_target_12_lag,1.3538403334633093,6.9114582557235495,4.79696701451728e-12
Wage,wage_target_12,12,lagged_target,post,wage_target_12_lag,0.7331682114410911,15.54547671692424,1.7074733867277853e-54
