target_name,model_name,split_name,term_name,coef_value,std_value,t_value,p_value,row_count,r2_value
wage_target_3,direct_regression,pre_train,const,3.0472781678854517,0.09131953405819428,33.36940118357967,3.8112921041769665e-244,166,0.3220985043101462
wage_target_3,direct_regression,pre_train,log_jolts_ratio,0.7227131317831601,0.07808958139278578,9.254923882200849,2.1438310504227168e-20,166,0.3220985043101462
wage_target_3,direct_regression,post_eval,const,3.8899206731952,0.1695778035573892,22.938855154346648,1.9037351592866062e-116,55,0.17274855746289564
wage_target_3,direct_regression,post_eval,log_jolts_ratio,1.2683225633908628,0.3489128375398566,3.6350699284487673,0.0002779052440258529,55,0.17274855746289564
wage_target_3,interaction_regression,full_sample,const,3.047278167885451,0.0913195340581938,33.369401183579825,3.811292104157018e-244,238,0.3200475278998194
wage_target_3,interaction_regression,full_sample,log_jolts_ratio,0.722713131783159,0.0780895813927854,9.25492388220088,2.1438310504221014e-20,238,0.3200475278998194
wage_target_3,interaction_regression,full_sample,post_shift,1.0795499668319286,0.45139513381862695,2.391585300664091,0.016775785224376363,238,0.3200475278998194
wage_target_3,interaction_regression,full_sample,jolts_x_shift,2.083379365835816,1.2116968520559825,1.7193899301634568,0.08554339458707119,238,0.3200475278998194
wage_target_6,direct_regression,pre_train,const,3.3696003464278106,0.29543024146852775,11.405739404599089,3.9143705763509256e-30,166,0.27875748149477253
wage_target_6,direct_regression,pre_train,log_jolts_ratio,1.0189088066573135,0.25996856706869015,3.9193538593767476,8.878667773973614e-05,166,0.27875748149477253
wage_target_6,direct_regression,post_eval,const,3.9057789308675126,0.18386662627817407,21.242457154559478,3.871024226418929e-100,52,0.17635312309275353
wage_target_6,direct_regression,post_eval,log_jolts_ratio,1.0521488443473332,0.31577686681717165,3.3319376905354687,0.0008624356352846789,52,0.17635312309275353
wage_target_6,interaction_regression,full_sample,const,3.369600346427811,0.29543024146852753,11.405739404599098,3.91437057635059e-30,235,0.4647386967514101
