regime,intercept,intercept_se,intercept_t,intercept_p,unemployment_coef,unemployment_se,unemployment_t,unemployment_p,lagged_inflation_coef,lagged_inflation_se,lagged_inflation_t,lagged_inflation_p,r_squared,n_obs
Pre-2020,0.2023,0.1278,1.5827,0.1149,-0.0092,0.0168,-0.549,0.5835,0.9263,0.0248,37.3784,0.0,0.8714,227
Post-Pandemic (2021-06+),-1.134,0.618,-1.835,0.0721,0.2674,0.1387,1.9276,0.0593,1.0076,0.0274,36.7857,0.0,0.9678,56
