label,y_col,term,coef,std_error,t_stat,p_value,r2,adj_r2,obs,model_name,horizon
Pre-2020,wage_forward_3,const,1.880320152577059,0.334445570475407,5.62220079609434,1.8853993275239398e-08,0.38219374531226025,0.37395632858309036,153,wage_persist,3
Pre-2020,wage_forward_3,log_jolts_ratio,0.5186537092843129,0.083533572331512,6.208925283668938,5.334817798633783e-10,0.38219374531226025,0.37395632858309036,153,wage_persist,3
Pre-2020,wage_forward_3,ahe_12m_pct_lag_1,0.38960823738156436,0.13026409767449185,2.990910345497729,0.002781471428211293,0.38219374531226025,0.37395632858309036,153,wage_persist,3
Post-Pandemic (2021-06+),wage_forward_3,const,5.60908363511402,1.5097398621491123,3.715264977589913,0.00020299086214942705,0.19468966838083845,0.16310887106243988,54,wage_persist,3
Post-Pandemic (2021-06+),wage_forward_3,log_jolts_ratio,2.1587507504270507,0.8908998396770638,2.4231127386997415,0.015388150313249215,0.19468966838083845,0.16310887106243988,54,wage_persist,3
Post-Pandemic (2021-06+),wage_forward_3,ahe_12m_pct_lag_1,-0.4506818747860249,0.37169495942302083,-1.2125046718029613,0.22531925535147423,0.19468966838083845,0.16310887106243988,54,wage_persist,3
Pre-2020,wage_forward_6,const,2.1084565044303494,0.3957747890952786,5.327414889791681,9.962043328753364e-08,0.2993781833498037,0.290036559127801,153,wage_persist,6
Pre-2020,wage_forward_6,log_jolts_ratio,0.8184643516894585,0.218814749704681,3.7404441555886097,0.00018369535789807313,0.2993781833498037,0.290036559127801,153,wage_persist,6
Pre-2020,wage_forward_6,ahe_12m_pct_lag_1,0.4383830597137639,0.16566394664728143,2.6462188580303136,0.00813971346981855,0.2993781833498037,0.290036559127801,153,wage_persist,6
Post-Pandemic (2021-06+),wage_forward_6,const,5.282632179985804,1.4648996537685106,3.6061392781382873,0.0003107863730687631,0.2175130649361482,0.185574822688644,52,wage_persist,6
Post-Pandemic (2021-06+),wage_forward_6,log_jolts_ratio,1.8759284043921263,0.911769616191481,2.057458782436727,0.039642115785396115,0.2175130649361482,0.185574822688644,52,wage_persist,6
Post-Pandemic (2021-06+),wage_forward_6,ahe_12m_pct_lag_1,-0.37182532631855997,0.36491710332125926,-1.0189309378333493,0.30823575478313436,0.2175130649361482,0.185574822688644,52,wage_persist,6
Pre-2020,wage_forward_12,const,2.0728840649386022,0.4220158235369005,4.911863369401248,9.021491103460403e-07,0.6044550772057684,0.5991811449018453,153,wage_persist,12
Pre-2020,wage_forward_12,log_jolts_ratio,0.8477297872430378,0.15774620120679173,5.374010789215373,7.700424698977712e-08,0.6044550772057684,0.5991811449018453,153,wage_persist,12
Pre-2020,wage_forward_12,ahe_12m_pct_lag_1,0.465389281737547,0.1776815225113766,2.619232856403226,0.008812776809905649,0.6044550772057684,0.5991811449018453,153,wage_persist,12
Post-Pandemic (2021-06+),wage_forward_12,const,5.081853167671901,1.2471095502262548,4.074905181144619,4.603309929137911e-05,0.20434760641106475,0.16734051833716068,46,wage_persist,12
Post-Pandemic (2021-06+),wage_forward_12,log_jolts_ratio,1.6198436428729104,0.8324230823167035,1.9459379218134476,0.05166219700329785,0.20434760641106475,0.16734051833716068,46,wage_persist,12
Post-Pandemic (2021-06+),wage_forward_12,ahe_12m_pct_lag_1,-0.3305759465665383,0.31707006198592624,-1.042595899770605,0.2971354890609905,0.20434760641106475,0.16734051833716068,46,wage_persist,12
