target,target_col,horizon,model,test_end,rmse,mae,oos_r2,fold_count
CPI,cpi_target_6,6,ElasticNet,2024-03-01,0.2879972710479839,0.2879972710479839,0.604758956303243,1
CPI,cpi_target_6,6,ElasticNet,2024-05-01,0.7647788643230657,0.7647788643230657,-0.585935808638002,1
CPI,cpi_target_6,6,ElasticNet,2024-12-01,0.16469269506518458,0.16469269506518458,0.6226162950415444,1
CPI,cpi_target_6,6,ElasticNet,2025-08-01,0.09742410470854956,0.09742410470854956,0.6497087539450681,1
CPI,cpi_target_6,6,GradientBoosting,2024-03-01,1.8851610218300552,1.8851610218300552,-15.934882802100553,1
CPI,cpi_target_6,6,GradientBoosting,2024-05-01,1.0907070651274093,1.0907070651274093,-2.225745525089062,1
CPI,cpi_target_6,6,GradientBoosting,2024-12-01,0.7020001329981791,0.7020001329981791,-5.856600715618463,1
CPI,cpi_target_6,6,GradientBoosting,2025-08-01,0.46421164674920234,0.46421164674920234,-6.952954578438386,1
CPI,cpi_target_6,6,Huber,2024-03-01,0.18520299770713855,0.18520299770713855,0.8365513581818246,1
CPI,cpi_target_6,6,Huber,2024-05-01,1.0408787976810259,1.0408787976810259,-1.9377455376145725,1
CPI,cpi_target_6,6,Huber,2024-12-01,0.05817664077371809,0.05817664077371809,0.9529096680156297,1
CPI,cpi_target_6,6,Huber,2025-08-01,0.4605990735472205,0.4605990735472205,-6.82965376302576,1
CPI,cpi_target_6,6,OLS,2024-03-01,0.07619260073238188,0.07619260073238188,0.9723362603895467,1
CPI,cpi_target_6,6,OLS,2024-05-01,1.1381470913119067,1.1381470913119067,-2.5124539286743546,1
CPI,cpi_target_6,6,OLS,2024-12-01,0.2188165270151119,0.2188165270151119,0.33381521071891396,1
CPI,cpi_target_6,6,OLS,2025-08-01,0.6357084370068868,0.6357084370068868,-13.914626704797067,1
CPI,cpi_target_6,6,Persistence,2024-03-01,0.4580969010405056,0.4580969010405056,0.0,1
CPI,cpi_target_6,6,Persistence,2024-05-01,0.6072857277477084,0.6072857277477084,0.0,1
CPI,cpi_target_6,6,Persistence,2024-12-01,0.2680913271131402,0.2680913271131402,0.0,1
CPI,cpi_target_6,6,Persistence,2025-08-01,0.1646083195659287,0.1646083195659287,0.0,1
CPI,cpi_target_6,6,RandomForest,2024-03-01,1.9063410706653579,1.9063410706653579,-16.317552038222214,1
