target,target_col,horizon,model,mean_rmse,std_rmse,min_rmse,max_rmse,row_count,cv_rmse
CPI,cpi_target_6,6,ElasticNet,0.32872323378619595,0.30122440234762093,0.09742410470854956,0.7647788643230657,4,0.9163465535373126
CPI,cpi_target_6,6,GradientBoosting,1.0355199666762114,0.6225121723877758,0.46421164674920234,1.8851610218300552,4,0.6011590238920272
CPI,cpi_target_6,6,Huber,0.43621437742727576,0.43670467427802107,0.05817664077371809,1.0408787976810259,4,1.0011239814094093
CPI,cpi_target_6,6,OLS,0.5172161640165718,0.4771930992672124,0.07619260073238188,1.1381470913119067,4,0.9226183024935836
CPI,cpi_target_6,6,Persistence,0.3745205688668207,0.1971082261054184,0.1646083195659287,0.6072857277477084,4,0.5262947952412994
CPI,cpi_target_6,6,RandomForest,1.012870087546597,0.6451265607176941,0.43168738096158865,1.9063410706653579,4,0.6369292258203993
CPI,cpi_target_6,6,Ridge,0.4222207886634856,0.15618667830107058,0.31075462735997084,0.6521760230954192,4,0.3699170729974478
PCE,pce_target_12,12,ElasticNet,1.1319953125294249,,1.1319953125294249,1.1319953125294249,1,
PCE,pce_target_12,12,GradientBoosting,2.9304380736767257,,2.9304380736767257,2.9304380736767257,1,
PCE,pce_target_12,12,Huber,1.2069795519685085,,1.2069795519685085,1.2069795519685085,1,
PCE,pce_target_12,12,OLS,13.791974535726345,,13.791974535726345,13.791974535726345,1,
PCE,pce_target_12,12,Persistence,0.6006460731616088,,0.6006460731616088,0.6006460731616088,1,
PCE,pce_target_12,12,RandomForest,2.9437463733049767,,2.9437463733049767,2.9437463733049767,1,
PCE,pce_target_12,12,Ridge,1.2249487859539763,,1.2249487859539763,1.2249487859539763,1,
PCE,pce_target_6,6,ElasticNet,0.393354018080343,0.12774854019772353,0.25648352936773877,0.509428967644896,3,0.32476734525597434
PCE,pce_target_6,6,GradientBoosting,1.135094619241229,0.6737345707228618,0.5628981275676468,1.8776593512239934,3,0.59354925950863
PCE,pce_target_6,6,Huber,0.31830585719174964,0.09573020187919665,0.2443962198222387,0.42644561585514307,3,0.3007491056676601
PCE,pce_target_6,6,OLS,0.42743840608343175,0.0724756312998926,0.3438410142274102,0.47260224516903016,3,0.16955807028193454
PCE,pce_target_6,6,Persistence,0.4806364881088025,0.22121990467663696,0.26204368600559746,0.7043930847597579,3,0.4602644829298916
PCE,pce_target_6,6,RandomForest,1.137898897185264,0.6723423083595198,0.5895359376606368,1.888019163007562,3,0.5908629580559777
PCE,pce_target_6,6,Ridge,0.4184117461288725,0.22074949739192534,0.21258440728298655,0.6515431967358891,3,0.5275891497652497
Wage,wage_target_12,12,ElasticNet,1.3002422235122455,,1.3002422235122455,1.3002422235122455,1,
Wage,wage_target_12,12,GradientBoosting,0.703549062687432,,0.703549062687432,0.703549062687432,1,
Wage,wage_target_12,12,Huber,0.4348704473043066,,0.4348704473043066,0.4348704473043066,1,
Wage,wage_target_12,12,OLS,0.6438251201386717,,0.6438251201386717,0.6438251201386717,1,
Wage,wage_target_12,12,Persistence,0.19982239943318045,,0.19982239943318045,0.19982239943318045,1,
Wage,wage_target_12,12,RandomForest,0.6927806160875022,,0.6927806160875022,0.6927806160875022,1,
Wage,wage_target_12,12,Ridge,0.6418886549197391,,0.6418886549197391,0.6418886549197391,1,
Wage,wage_target_3,3,ElasticNet,0.4908037405679304,0.19328240503473454,0.3209949946833121,0.7468049842276693,4,0.39380792984804686
Wage,wage_target_3,3,GradientBoosting,0.5320928271937906,0.14971674442269642,0.45205661521858415,0.7565588419610214,4,0.28137335587154777
Wage,wage_target_3,3,Huber,0.6343541625172829,0.15305839501844237,0.4715613259886948,0.8385838969583358,4,0.2412822427318309
Wage,wage_target_3,3,OLS,0.5357181118275333,0.2217239467913635,0.2786797961863175,0.7974123408366512,4,0.41388174470148276
Wage,wage_target_3,3,Persistence,0.3927852486646958,0.18007287193315755,0.209906156928504,0.621088361272558,4,0.45845120850472204
Wage,wage_target_3,3,RandomForest,0.5178039753305002,0.13337395213170597,0.4441218981566874,0.7177027943668733,4,0.2575761455801436
Wage,wage_target_3,3,Ridge,0.48437062411209064,0.18399434988041258,0.3303641495876614,0.7110699548461192,4,0.37986273469349274
Wage,wage_target_6,6,ElasticNet,0.3924723952040775,0.253014093327585,0.18093131955765915,0.7458962690573671,5,0.6446672337197701
Wage,wage_target_6,6,GradientBoosting,0.5173552456716968,0.3201467432034666,0.19747757678478012,0.9177372478042968,5,0.6188141434379604
Wage,wage_target_6,6,Huber,0.46604558408245794,0.31743208076283824,0.151941607395934,0.9844119733134828,5,0.6811180957497811
Wage,wage_target_6,6,OLS,0.39873883403543026,0.2984721231219641,0.0935483573786157,0.8646334957481041,5,0.7485403919685513
Wage,wage_target_6,6,Persistence,0.46450048200059674,0.18074546066434086,0.174987192666464,0.6200886599950558,5,0.38911791842685034
Wage,wage_target_6,6,RandomForest,0.5771683520730189,0.18361603528656192,0.41487410045716705,0.7864062124163036,5,0.31813254248447126
Wage,wage_target_6,6,Ridge,0.372391199420894,0.21810717899652138,0.20223459294444363,0.6583407623676432,5,0.5856936988191453
