feature,vif
jolts_ratio_lag_6,inf
hy_oas_lag_12,inf
log_jolts_ratio,inf
fed_funds_chg_6,inf
fed_funds_lag_12,inf
fed_funds_lag_6,inf
hy_oas,inf
quits_rate,inf
hy_oas_chg_12,inf
hy_oas_chg_3,inf
hy_oas_chg_6,inf
hy_oas_lag_3,inf
quits_rate_chg_3,inf
hy_oas_lag_6,inf
jolts_ratio,inf
jolts_ratio_chg_12,inf
jolts_ratio_chg_6,inf
jolts_ratio_lag_12,inf
log_jolts_ratio_lag_6,inf
log_jolts_ratio_lag_12,inf
log_jolts_ratio_chg_6,inf
log_jolts_ratio_chg_12,inf
fed_funds_chg_12,inf
quits_rate_chg_12,inf
fed_funds,inf
consumer_sentiment_chg_6,inf
unemployment_rate_lag_6,inf
unemployment_rate_lag_3,inf
unemployment_rate_lag_12,inf
unemployment_rate_lag_1,inf
unemployment_rate_chg_6,inf
unemployment_rate_chg_3,inf
consumer_sentiment,inf
unemployment_rate_chg_12,inf
quits_rate_chg_6,inf
consumer_sentiment_chg_3,inf
consumer_sentiment_chg_12,inf
consumer_sentiment_lag_12,inf
consumer_sentiment_lag_3,inf
consumer_sentiment_lag_6,inf
unemployment_rate_chg_1,inf
unemployment_rate,inf
quits_rate_lag_6,inf
quits_rate_lag_3,inf
quits_rate_lag_12,inf
jolts_ratio_x_tight_labor,12836.50626412245
tight_labor,7327.273721319977
jolts_ratio_x_high_inflation,5838.641570230022
high_inflation,3059.288395671737
log_jolts_ratio_x_high_inflation,1337.9363845077849
jolts_x_unemployment,1209.9246225872635
log_jolts_ratio_x_tight_labor,1201.8958981411793
unemployment_rate_x_high_inflation,979.9350214558992
unemployment_rate_std_12,659.4708922716367
unemployment_rate_mean_12,582.6002517238638
log_jolts_ratio_std_12,416.5293819168884
ahe_private_12m_pct_mean_6,312.2851799592163
jolts_ratio_std_12,187.48934482304134
unemployment_rate_std_6,177.8263764290705
log_jolts_ratio_chg_3,171.39937275228326
log_jolts_ratio_x_post_regime,169.06171427934788
log_jolts_ratio_std_3,104.5438024647494
post_regime,83.64827143874709
ahe_private_12m_pct_std_12,75.22444908150034
ahe_private_12m_pct_std_6,72.05139776557994
jolts_ratio_chg_3,63.239822806349245
unemployment_rate_std_3,56.8209136837763
jolts_ratio_std_6,56.61979589766762
jolts_ratio_std_3,40.35601686130064
cpi_all_12m_pct_lag_1,33.88922540819204
cpi_all_12m_pct_lag_3,33.669474022976424
ahe_private_12m_pct_lag_3,32.74229858831382
ahe_private_12m_pct_lag_1,32.672254479484174
ahe_private_12m_pct_std_3,32.38613110506525
ahe_private_12m_pct_lag_6,31.993409922104025
log_jolts_ratio_chg_1,30.89395957809797
quits_rate_std_12,27.816278037714504
fed_funds_chg_3,26.773243136931782
cpi_all_12m_pct_lag_6,23.92161130467554
ahe_private_12m_pct_lag_12,20.70587278215716
cpi_all_12m_pct_lag_12,15.379478169294023
jolts_ratio_chg_1,13.610729981670024
quits_rate_std_6,11.627207775663164
cpi_all_12m_pct_std_12,9.88994508122751
fed_funds_chg_1,8.393404995667918
cpi_all_12m_pct_std_6,7.66992921605326
cpi_all_12m_pct_std_3,5.867968125743303
quits_rate_std_3,4.958335190531234
hy_oas_chg_1,4.32222831040666
quits_rate_chg_1,3.7933128755175347
consumer_sentiment_chg_1,2.33225974376758
