target,term,coef,std_err,t_value,p_value
ahe_private_12m_forward,const,-1.152297112620107,2.0683571518706203,-0.5571074181158561,0.5774540395288207
ahe_private_12m_forward,log_jolts_ratio,0.701321484858352,0.7947029047576141,0.8824951823628434,0.377509083873528
ahe_private_12m_forward,unemployment_rate,0.1697152559913665,0.1404852066171785,1.2080649634081384,0.22702227520002793
ahe_private_12m_forward,quits_rate,2.64638384877039,0.9875273274578277,2.6798082191638426,0.0073664351058829215
ahe_private_12m_forward,fed_funds,-0.0033138750625364612,0.0783818155505212,-0.04227862086711291,0.9662765881213189
ahe_private_12m_forward,consumer_sentiment,-0.01981521638670903,0.0071959114557054804,-2.7536770718597405,0.005892988237401426
ahe_private_12m_forward,post_regime,1.8522929091245337,3.1193734867593954,0.5938028636156724,0.5526439735324441
ahe_private_12m_forward,jolts_post,1.1534591262415435,0.9632112424595783,1.1975141852540712,0.2311062019124288
ahe_private_12m_forward,urate_post,0.9556369882838409,0.21412298911769648,4.463028431564433,8.080932559320653e-06
ahe_private_12m_forward,quits_post,-2.7635488455838084,1.23710456873618,-2.23388460072299,0.02549066705470775
cpi_all_12m_forward,const,-19.175471523185387,3.8545581221995135,-4.974752206419799,6.533115556787379e-07
cpi_all_12m_forward,log_jolts_ratio,-1.7091089118535114,0.8489088812546561,-2.013300778909877,0.04408299648041382
cpi_all_12m_forward,unemployment_rate,0.695399253933546,0.22125830533669477,3.142929495348606,0.0016726612357583401
cpi_all_12m_forward,quits_rate,6.311985291465117,1.975002680953833,3.195937581419751,0.0013937726024086518
cpi_all_12m_forward,fed_funds,0.036233947174861864,0.20899665496852352,0.17337094309150053,0.8623598632840899
cpi_all_12m_forward,consumer_sentiment,0.04464508826950746,0.024720731257736554,1.805977655112262,0.07092182993937894
cpi_all_12m_forward,post_regime,2.4250358768158957,7.311366626480969,0.3316802453911532,0.7401307189430895
cpi_all_12m_forward,jolts_post,2.627373305522089,1.4746853477335193,1.781650105603995,0.07480630808011111
cpi_all_12m_forward,urate_post,1.3609980012579013,0.6643801226146056,2.0485230592116777,0.04050877501100246
cpi_all_12m_forward,quits_post,-2.620790772200536,2.6457066336223036,-0.9905825305401851,0.32188947143826807
