label,y_col,term,coef,std_error,t_stat,p_value,r2,adj_r2,obs,model_name,horizon
Pre-2020,cpi_forward_3,const,3.0731830026928373,0.9948540322265533,3.0890793052472607,0.00200777836327839,0.032671892251659784,0.02403503414676389,227,cpi_persist,3
Pre-2020,cpi_forward_3,log_jolts_ratio,0.35744431085884826,0.5046730518817499,0.7082690655386947,0.4787781835553181,0.032671892251659784,0.02403503414676389,227,cpi_persist,3
Pre-2020,cpi_forward_3,cpi_12m_pct_lag_1,-0.37633335010265173,0.36124494846499566,-1.0417677858244656,0.2975193529039619,0.032671892251659784,0.02403503414676389,227,cpi_persist,3
Post-Pandemic (2021-06+),cpi_forward_3,const,1.5522347384435948,0.8649839733033321,1.7945242759998028,0.07272952743134907,0.22111316459644859,0.18932186519222194,52,cpi_persist,3
Post-Pandemic (2021-06+),cpi_forward_3,log_jolts_ratio,0.4362114732262764,2.0981695604503963,0.20790096351061282,0.8353062968376161,0.22111316459644859,0.18932186519222194,52,cpi_persist,3
Post-Pandemic (2021-06+),cpi_forward_3,cpi_12m_pct_lag_1,0.5373349135031633,0.332258229085431,1.6172207833112917,0.10583063163669498,0.22111316459644859,0.18932186519222194,52,cpi_persist,3
Pre-2020,cpi_forward_6,const,2.4840615992225032,0.7968728873087582,3.1172620361219834,0.0018253924588474228,0.019050117576346115,0.0102916364832778,227,cpi_persist,6
Pre-2020,cpi_forward_6,log_jolts_ratio,0.07365647056603515,0.41328258623930814,0.17822301983801692,0.8585478319110194,0.019050117576346115,0.0102916364832778,227,cpi_persist,6
Pre-2020,cpi_forward_6,cpi_12m_pct_lag_1,-0.21297504341770657,0.31057412357143627,-0.6857462591171715,0.49287313039882863,0.019050117576346115,0.0102916364832778,227,cpi_persist,6
Post-Pandemic (2021-06+),cpi_forward_6,const,1.4408703864266381,1.004864295424993,1.4338954951297604,0.1516020876200866,0.20791734514607463,0.17491390119382766,51,cpi_persist,6
