target,target_col,horizon,regime,row_count,durbin_watson_stat,ljung_box_p_value,breusch_pagan_lm,breusch_pagan_p_value,r_squared
Wage,wage_target_3,3,Full,109,1.7778487873581832,0.1515650993849489,16.378927731938894,0.00255065198996556,0.6458801292298985
Wage,wage_target_3,3,Pre-2020,87,2.2489933479039994,0.6104032087302711,3.966992968293857,0.41049129564077924,0.5862679735619352
Wage,wage_target_3,3,Post-Pandemic (2021-06+),16,2.067395782397947,0.27401589821887684,2.408171115238831,0.6611511161171288,0.5810841489748164
Wage,wage_target_6,6,Full,94,2.063349889743108,0.00033510183864009983,3.4480482928364586,0.48582155472835464,0.6356122471090949
Wage,wage_target_6,6,Pre-2020,67,1.2017500954262144,0.946586469580429,8.317669270973411,0.08061069650166057,0.4788267151158129
Wage,wage_target_6,6,Post-Pandemic (2021-06+),18,3.0674185051892215,0.08754154155338514,2.333710718888126,0.6746384332767981,0.863977070601285
Wage,wage_target_12,12,Full,37,1.4071256718224834,0.14489400223648358,2.6465489386138854,0.6185997211257486,0.6960763651675572
Wage,wage_target_12,12,Pre-2020,22,1.6555649680223472,0.9160848657149262,6.299351766093661,0.17788008200532693,0.6099662003370296
Wage,wage_target_12,12,Post-Pandemic (2021-06+),9,2.792463353403728,0.19063402199010931,3.2957792585121366,0.509601274959476,0.9222629987146724
CPI,cpi_target_3,3,Full,31,1.968179175813394,0.8708280076692614,3.505498047550568,0.47704284687222354,0.6106518586003141
CPI,cpi_target_3,3,Pre-2020,26,2.168268948232436,0.7266645992930052,3.5390667315412956,0.4719630785944735,0.5303531545847044
CPI,cpi_target_3,3,Post-Pandemic (2021-06+),4,0.819983653453208,0.5859905800517462,4.0,0.40600584970983794,1.0
CPI,cpi_target_6,6,Full,48,1.8442087497977124,0.8419317542430431,0.42012283799810035,0.9807964815088296,0.8735203176969273
CPI,cpi_target_6,6,Pre-2020,33,2.1839979554271514,0.6743282411564905,2.9378101573156923,0.5682860861331537,0.8068185160001109
CPI,cpi_target_6,6,Post-Pandemic (2021-06+),12,2.3257655705167,0.6277347071611137,4.682742388617141,0.3214253566735155,0.9706768063594432
CPI,cpi_target_12,12,Full,42,2.114660956806884,0.1438179326978909,2.6508448219306056,0.6178431191289744,0.9102632547854661
CPI,cpi_target_12,12,Pre-2020,35,1.7748803674312608,0.1258110185524168,5.381614567601143,0.25033329385769515,0.7886001205150798
CPI,cpi_target_12,12,Post-Pandemic (2021-06+),5,0.7714285714285715,0.5886440988809533,5.0,0.2872974951836458,1.0
PCE,pce_target_3,3,Full,31,2.3955998470061513,0.15754115991391315,1.3450664266182977,0.8536842860550912,0.38183853298374115
PCE,pce_target_3,3,Pre-2020,26,2.41981741131673,0.27544226466821714,1.1886183713864638,0.8799689504651143,0.44202044439597776
PCE,pce_target_3,3,Post-Pandemic (2021-06+),2,0.13846153846153847,0.15729920705028105,2.0,0.7357588823428847,1.0
PCE,pce_target_6,6,Full,53,2.517404093681547,0.3168943237070335,22.067322253770108,0.00019432990341095607,0.9161681519411539
PCE,pce_target_6,6,Pre-2020,39,2.768041282853116,0.08267367144785216,23.754511758234433,8.945335569077735e-05,0.8580141833870025
PCE,pce_target_6,6,Post-Pandemic (2021-06+),11,2.2136952085980983,0.20011489058045748,8.64239626011957,0.07068657297205438,0.9761056883695824
PCE,pce_target_12,12,Full,47,1.549395726104029,0.5386082226857283,6.072628414927644,0.19378959762384995,0.920726695991879
PCE,pce_target_12,12,Pre-2020,37,2.2235195524340816,0.802351886074718,8.57663350508528,0.07259808379316174,0.8947373915715802
PCE,pce_target_12,12,Post-Pandemic (2021-06+),7,2.673892103002982,0.07383098596167144,5.8445886061187835,0.2110590052057582,0.9678668639113652
