target,target_col,horizon,model,split,rmse,mae,oos_r2_vs_persistence,row_count,train_end,test_start,test_end
CPI,cpi_target_6,6,Huber,Pre to Post,0.5341693224426298,0.4566046349021202,0.9855342387424278,12,2019-12-01,2021-06-01,2025-08-01
CPI,cpi_target_6,6,RandomForest,Pre to Post,1.2780309732868915,0.5729401270334451,0.9171931687066399,12,2019-12-01,2021-06-01,2025-08-01
CPI,cpi_target_6,6,GradientBoosting,Pre to Post,0.9647564241036833,0.6895679178210331,0.9528133912604728,12,2019-12-01,2021-06-01,2025-08-01
CPI,cpi_target_12,12,Persistence,Pre to Post,2.467369957286404,2.359168545472805,0.0,5,2019-11-01,2022-04-01,2024-08-01
CPI,cpi_target_12,12,AR,Pre to Post,0.6369634831083287,0.5572713537735183,0.9333560813960732,5,2019-11-01,2022-04-01,2024-08-01
CPI,cpi_target_12,12,OLS,Pre to Post,0.3488987654178758,0.27650289279226403,0.9800045896853913,5,2019-11-01,2022-04-01,2024-08-01
CPI,cpi_target_12,12,Ridge,Pre to Post,0.3620770758747527,0.28380355495102594,0.9784655634138372,5,2019-11-01,2022-04-01,2024-08-01
CPI,cpi_target_12,12,Lasso,Pre to Post,0.38059209966268503,0.3130738019303897,0.9762069020220226,5,2019-11-01,2022-04-01,2024-08-01
CPI,cpi_target_12,12,ElasticNet,Pre to Post,0.3815693485603531,0.30754873653015824,0.9760845577554643,5,2019-11-01,2022-04-01,2024-08-01
CPI,cpi_target_12,12,Huber,Pre to Post,0.361586051603787,0.28311582033458943,0.9785239308825717,5,2019-11-01,2022-04-01,2024-08-01
CPI,cpi_target_12,12,RandomForest,Pre to Post,1.1739914200870187,0.9487827211545934,0.7736078827893318,5,2019-11-01,2022-04-01,2024-08-01
CPI,cpi_target_12,12,GradientBoosting,Pre to Post,1.1688358909362362,1.0580510892985722,0.7755918979204722,5,2019-11-01,2022-04-01,2024-08-01
PCE,pce_target_3,3,Persistence,Pre to Post,0.47183716650630875,0.4569988490857215,0.0,2,2019-10-01,2025-03-01,2025-06-01
PCE,pce_target_3,3,AR,Pre to Post,0.6238815256219775,0.446693528313707,-0.7483160987649644,2,2019-10-01,2025-03-01,2025-06-01
PCE,pce_target_3,3,OLS,Pre to Post,0.38674395032362174,0.3567376518019265,0.32816478595382736,2,2019-10-01,2025-03-01,2025-06-01
PCE,pce_target_3,3,Ridge,Pre to Post,0.37260160491628364,0.3400091539335983,0.3764013762181385,2,2019-10-01,2025-03-01,2025-06-01
PCE,pce_target_3,3,Lasso,Pre to Post,0.40824844991795833,0.365076076825253,0.25137419253370874,2,2019-10-01,2025-03-01,2025-06-01
PCE,pce_target_3,3,ElasticNet,Pre to Post,0.3959554456239387,0.35547314121098816,0.29578001430083656,2,2019-10-01,2025-03-01,2025-06-01
PCE,pce_target_3,3,Huber,Pre to Post,0.3517992492270024,0.2994813663491762,0.444088674118692,2,2019-10-01,2025-03-01,2025-06-01
PCE,pce_target_3,3,RandomForest,Pre to Post,0.64902991424957,0.5632652075559836,-0.8921045673451486,2,2019-10-01,2025-03-01,2025-06-01
PCE,pce_target_3,3,GradientBoosting,Pre to Post,0.6061284228139581,0.4780043099192752,-0.6502320018463983,2,2019-10-01,2025-03-01,2025-06-01
PCE,pce_target_6,6,Persistence,Pre to Post,2.8018112684075462,2.092163645320126,0.0,11,2019-06-01,2021-10-01,2025-07-01
PCE,pce_target_6,6,AR,Pre to Post,0.5643022703561069,0.36625319370662823,0.9594355268346084,11,2019-06-01,2021-10-01,2025-07-01
PCE,pce_target_6,6,OLS,Pre to Post,0.4829098452683747,0.3599787542834269,0.9702933031746896,11,2019-06-01,2021-10-01,2025-07-01
PCE,pce_target_6,6,Ridge,Pre to Post,0.5339290572754664,0.35310211776536743,0.9636847232820696,11,2019-06-01,2021-10-01,2025-07-01
PCE,pce_target_6,6,Lasso,Pre to Post,0.5461569164959549,0.34777938124546526,0.9620023165360505,11,2019-06-01,2021-10-01,2025-07-01
PCE,pce_target_6,6,ElasticNet,Pre to Post,0.5629959940976385,0.36045984677607934,0.9596231109747096,11,2019-06-01,2021-10-01,2025-07-01
PCE,pce_target_6,6,Huber,Pre to Post,0.5539998326098923,0.3584464561601584,0.9609031730712544,11,2019-06-01,2021-10-01,2025-07-01
PCE,pce_target_6,6,RandomForest,Pre to Post,2.0449242860952985,1.1445289545235846,0.46730734289171516,11,2019-06-01,2021-10-01,2025-07-01
PCE,pce_target_6,6,GradientBoosting,Pre to Post,1.9957350807403649,1.2753542049881093,0.49262621131121387,11,2019-06-01,2021-10-01,2025-07-01
PCE,pce_target_12,12,Persistence,Pre to Post,3.577529196423146,3.0988506721883042,0.0,7,2019-11-01,2021-06-01,2024-07-01
PCE,pce_target_12,12,AR,Pre to Post,0.5419697449052941,0.43550520813421734,0.9770499459577556,7,2019-11-01,2021-06-01,2024-07-01
PCE,pce_target_12,12,OLS,Pre to Post,0.6764143149646851,0.5633184231977886,0.9642513861679233,7,2019-11-01,2021-06-01,2024-07-01
PCE,pce_target_12,12,Ridge,Pre to Post,0.6154732037416114,0.5197935045945403,0.9704027115185332,7,2019-11-01,2021-06-01,2024-07-01
PCE,pce_target_12,12,Lasso,Pre to Post,0.5720047894891389,0.479711206972818,0.9744357558292637,7,2019-11-01,2021-06-01,2024-07-01
PCE,pce_target_12,12,ElasticNet,Pre to Post,0.5746460562084007,0.4781311500954182,0.9741991218639351,7,2019-11-01,2021-06-01,2024-07-01
PCE,pce_target_12,12,Huber,Pre to Post,0.7285384920330038,0.5673817507536947,0.9585295611238391,7,2019-11-01,2021-06-01,2024-07-01
PCE,pce_target_12,12,RandomForest,Pre to Post,2.379970555319093,1.6349077098885572,0.5574352755535603,7,2019-11-01,2021-06-01,2024-07-01
PCE,pce_target_12,12,GradientBoosting,Pre to Post,2.4916232916432053,1.8097218223361704,0.5149367296569826,7,2019-11-01,2021-06-01,2024-07-01
