regime,group,mean_rmse,mean_mae,mean_oos_r2
post,baseline,0.4188185433726175,0.3996718852636875,0.0
post,linear,1.1422293281332851,1.0984333334514453,-25.57031145592255
post,machine_learning,1.144693174722912,1.1271051624287958,-8.68593307004958
pre,baseline,0.46670748747392365,0.3729454897103574,0.0
pre,linear,0.33294021939286333,0.2776554471349179,0.5153615763156253
pre,machine_learning,0.41501211451102393,0.3278475227880674,0.13019711745250134
