target,target_col,horizon,pre_model,pre_rmse,pre_mae,pre_oos_r2,post_model,post_rmse,post_mae,post_oos_r2,rmse_change_pct,mae_change_pct
,cpi_target_6,,,,,,ElasticNet,0.32872323378619595,0.32872323378619595,0.32278704916296336,,
,pce_target_12,,,,,,Persistence,0.6006460731616088,0.5915903207546277,0.0,,
,pce_target_6,,,,,,Huber,0.31830585719174964,0.31830585719174964,-0.0419056172314339,,
,wage_target_12,,,,,,Persistence,0.19982239943318045,0.19337433861508657,0.0,,
Wage,wage_target_3,3.0,Ridge,0.46337772570223346,0.38077988518319056,0.4033772757803795,Persistence,0.3927852486646958,0.3353178618031194,0.0,-15.234326796903574,-11.93918721788565
Wage,wage_target_6,6.0,Huber,0.1952795617841522,0.17494188351973053,0.651814502776545,Ridge,0.372391199420894,0.31518850249036817,0.17267134823863856,90.69645385240473,80.16754830173083
