target,target_col,horizon,signal,mae_post,mae_pre,oos_r2_post,oos_r2_pre,rmse_post,rmse_pre,coefficient_post,coefficient_pre,p_value_post,p_value_pre,t_value_post,t_value_pre,rmse_change_pct,sign_same,coef_ratio,reliability,flag
CPI,cpi_target_6,6,fed_funds,0.2750249965440366,,0.3589728012115444,,0.2750249965440366,,-0.17644573749654408,0.005923542514356825,0.018732810898044214,0.9034350057467089,-2.350805739387137,0.12132324931442515,,False,29.787198634751835,Unreliable,0
CPI,cpi_target_6,6,jolts,0.5172161640165718,,-3.78023229059074,,0.5172161640165718,,-0.7009087104294611,-0.5175687780705489,0.3944367740913597,7.089049014101586e-05,-0.851598857230248,-3.9732771238947437,,True,1.3542329833773734,Unreliable,0
CPI,cpi_target_6,6,lagged_target,0.2516825379219047,,0.5642022604600979,,0.2516825379219047,,0.9536578377329105,0.8741097716037005,0.0,5.70891501009452e-169,47.345226526327046,27.707257806912587,,True,1.0910046640747029,Unreliable,0
CPI,cpi_target_6,6,quits,0.32345241358295884,,0.027200888934807155,,0.32345241358295884,,0.8318311524823501,-1.2230981921132957,0.2361349449996587,0.001108581313636846,1.1847028758953067,-3.2614138031191557,,False,0.6801016940799284,Unreliable,0
CPI,cpi_target_6,6,unemployment,0.2845468294021737,,0.302360906563826,,0.2845468294021737,,0.3481822376892789,0.14401101187371848,0.3952644224022265,0.0002734793200774278,0.8501091186241768,3.639206609579252,,True,2.417747317785641,Unreliable,0
PCE,pce_target_12,12,fed_funds,83.93503733066707,,-19862.805768873674,,84.65446553082616,,0.3837715665296153,-0.05775653424166157,0.004221194931082876,0.00021000236515999687,2.861140833188201,-3.7066699097312066,,False,6.644643269692402,Unreliable,0
PCE,pce_target_12,12,jolts,13.775443155755724,,-526.2488109650351,,13.791974535726345,,-1.9496218535204122,0.19539658309201552,2.2909433980457534e-06,0.0009672954008200959,-4.725903581633482,3.299870246024527,,False,9.977768406535045,Unreliable,0
PCE,pce_target_12,12,lagged_target,1.7934686635110104,,-7.952055868476231,,1.7971322346948329,,0.9135087167024609,0.9199672601988169,1.0632903196807975e-86,9.79183424814226e-78,19.73576322159168,18.663594069355273,,True,0.9929795941923409,Unreliable,0
PCE,pce_target_12,12,quits,100.77424151682128,,-28604.486558643755,,101.58821086086428,,-1.9070054638784129,0.5255714861087131,0.005432450415931635,2.186432734559249e-06,-2.780205528073692,4.7353816415173755,,False,3.6284416378782653,Unreliable,0
PCE,pce_target_12,12,unemployment,5.8554824716324,,-94.05955571144284,,5.856208521579343,,0.668849737876466,-0.05391407683516166,1.4960874797085568e-17,0.005429931859021808,8.527450162302658,-2.7803561025972856,,False,12.405846063569353,Unreliable,0
PCE,pce_target_6,6,fed_funds,0.3340289637388694,,-0.01624561520337131,,0.3340289637388694,,-0.31103259838070607,0.05488267853046638,1.5041046309783347e-06,0.1633679965296062,-4.810689578840461,1.3938331453289214,,False,5.66722701422173,Unreliable,0
PCE,pce_target_6,6,jolts,0.42743840608343175,,-0.4623196632427975,,0.42743840608343175,,0.9289212661546102,0.13589779418696052,0.319132767565104,0.45037510937550584,0.9962416078358926,0.7547898093277423,,True,6.8354403521565095,Unreliable,0
PCE,pce_target_6,6,lagged_target,0.21127047603060856,,0.5500628272458218,,0.21127047603060856,,0.9626519567696592,0.8634045279743319,1.707553947283744e-122,1.9112098517782396e-49,23.536956441646975,14.78209725997354,,True,1.114948932487273,Unreliable,0
PCE,pce_target_6,6,quits,0.3677447407643206,,-0.3231616957769544,,0.3677447407643206,,0.835345591012711,0.017751862876379088,0.15908294195047523,0.9403357547201537,1.4081625527886992,0.07484786891234296,,True,47.05678479097735,Unreliable,0
PCE,pce_target_6,6,unemployment,0.41547699734761245,,-1.3949217018913715,,0.41547699734761245,,-1.3707191680793471,-0.00822660946454358,0.007347874577896312,0.8312133327392321,-2.6806526357138623,-0.21314568378665877,,True,166.6201822253873,Unreliable,0
Wage,wage_target_12,12,fed_funds,1.8929947399926441,,-89.52198349993104,,1.9011710846229641,,-0.032662461477647266,0.24075788967033945,0.1829878231101859,0.19927271927191414,-1.3316116852602098,1.2836263675612087,,False,0.13566517600885572,Unreliable,0
Wage,wage_target_12,12,jolts,0.6184873452569735,,-9.381198514359486,,0.6438251201386717,,-0.7801167962310869,1.427227319916518,0.08140607578145456,0.016379216889641907,-1.7425853219462304,2.400354142250825,,False,0.5465960364861274,Unreliable,0
Wage,wage_target_12,12,lagged_target,0.21591475439640878,,-0.5644705826600613,,0.2499354562841613,,0.7331682114410911,1.3538403334633093,1.7074733867277853e-54,4.79696701451728e-12,15.54547671692424,6.9114582557235495,,True,0.5415470298225983,Unreliable,0
Wage,wage_target_12,12,quits,1.1087036353523296,,-30.135995218056078,,1.1150017410986017,,-1.9429053434247692,2.0511834638509185,8.238390487221268e-08,0.0005920391072724581,-5.36182813383987,3.435235492450625,,False,0.9472118792227066,Unreliable,0
Wage,wage_target_12,12,unemployment,0.2794208714293962,,-1.2833240695691965,,0.3019450727263025,,0.5562140940148881,-0.28334154836701547,1.446554325572787e-30,0.027927926166211803,11.492039746924513,-2.1982973074140086,,False,1.9630516499275206,Unreliable,0
Wage,wage_target_3,3,fed_funds,0.45524429672098304,0.41343891414925044,-1.5227323937501065,0.1169580624445617,0.5038317805428232,0.5500045488566633,-0.08058217053302869,0.13653215064688176,0.06645056753471468,0.002184775377446106,-1.8353721484375742,3.0638923131385987,-8.394979352411358,False,0.5902065568529817,Unreliable,0
