target,break_date,n_pre,n_post,f_stat,p_value
ahe_private_12m_forward,2021-09-01,186,43,6.417919013223838,3.0564765575169517e-06
cpi_all_12m_forward,2021-09-01,249,42,6.930663725439058,7.041743880220608e-07
