label,y_col,term,coef,std_error,t_stat,p_value,r2,adj_r2,obs,model_name
Pandemic Shock (2020-2021H1),wage_forward_3,const,9.035355964175471,3.3982716900791363,2.658809179546519,0.0078417363016743,0.7099961657610079,0.668567046584009,17,phase_compare
Pandemic Shock (2020-2021H1),wage_forward_3,log_jolts_ratio,11.578009789486831,2.3377514112282696,4.952626585477568,7.321839556367551e-07,0.7099961657610079,0.668567046584009,17,phase_compare
Pandemic Shock (2020-2021H1),wage_forward_3,ahe_12m_pct_lag_1,0.35388934826408286,0.43108072214115706,0.820935221845068,0.4116831671682778,0.7099961657610079,0.668567046584009,17,phase_compare
Post-Pandemic (2021-06+),wage_forward_3,const,5.60908363511402,1.6614510227255133,3.376015036490601,0.0007354389979243078,0.19468966838083845,0.16310887106243988,54,phase_compare
Post-Pandemic (2021-06+),wage_forward_3,log_jolts_ratio,2.1587507504270507,0.8517846993615759,2.5343854521513047,0.011264474872625165,0.19468966838083845,0.16310887106243988,54,phase_compare
Post-Pandemic (2021-06+),wage_forward_3,ahe_12m_pct_lag_1,-0.4506818747860249,0.4130879178313411,-1.091007156907535,0.27526973340981387,0.19468966838083845,0.16310887106243988,54,phase_compare
Pandemic Shock (2020-2021H1),wage_forward_6,const,4.790533368244754,0.2874686677377176,16.66454089047217,2.37303717307931e-62,0.8798788613307553,0.8627186986637204,17,phase_compare
Pandemic Shock (2020-2021H1),wage_forward_6,log_jolts_ratio,5.202086207750333,0.4455090432836562,11.676724156726394,1.6763203225145996e-31,0.8798788613307553,0.8627186986637204,17,phase_compare
Pandemic Shock (2020-2021H1),wage_forward_6,ahe_12m_pct_lag_1,0.4197816984342305,0.08263095545895802,5.080199013827596,3.770396698621265e-07,0.8798788613307553,0.8627186986637204,17,phase_compare
Post-Pandemic (2021-06+),wage_forward_6,const,5.282632179985804,1.5642027520988626,3.377204248552508,0.0007322665320772593,0.2175130649361482,0.185574822688644,52,phase_compare
Post-Pandemic (2021-06+),wage_forward_6,log_jolts_ratio,1.8759284043921263,0.8510189750371348,2.2043320530077124,0.027501000335376124,0.2175130649361482,0.185574822688644,52,phase_compare
Post-Pandemic (2021-06+),wage_forward_6,ahe_12m_pct_lag_1,-0.37182532631855997,0.39218028856592535,-0.9480979466821323,0.3430795934819352,0.2175130649361482,0.185574822688644,52,phase_compare
Pandemic Shock (2020-2021H1),wage_forward_12,const,4.59016044168937,0.4628608984946333,9.916932833639633,3.513883518449148e-23,0.8103893920070598,0.7833021622937827,17,phase_compare
Pandemic Shock (2020-2021H1),wage_forward_12,log_jolts_ratio,2.641622450860706,0.21799065725326403,12.118053517273628,8.474802398827014e-34,0.8103893920070598,0.7833021622937827,17,phase_compare
Pandemic Shock (2020-2021H1),wage_forward_12,ahe_12m_pct_lag_1,0.2825660193730398,0.0767180786922458,3.683173825384132,0.00023034797024422182,0.8103893920070598,0.7833021622937827,17,phase_compare
Post-Pandemic (2021-06+),wage_forward_12,const,5.081853167671901,1.2998941997806601,3.909435989890097,9.251186432986705e-05,0.20434760641106475,0.16734051833716068,46,phase_compare
Post-Pandemic (2021-06+),wage_forward_12,log_jolts_ratio,1.6198436428729104,0.7826610521300911,2.0696617500824175,0.038484031051301444,0.20434760641106475,0.16734051833716068,46,phase_compare
Post-Pandemic (2021-06+),wage_forward_12,ahe_12m_pct_lag_1,-0.3305759465665383,0.3312952231605159,-0.9978288953667495,0.31836233596052055,0.20434760641106475,0.16734051833716068,46,phase_compare
Pandemic Shock (2020-2021H1),cpi_forward_3,const,2.5284222310986877,2.7263080158680117,0.927416204032133,0.3537104806199729,0.0658719306906026,-0.0675749363535969,17,phase_compare
Pandemic Shock (2020-2021H1),cpi_forward_3,log_jolts_ratio,-1.9488962863636323,2.3831463840043368,-0.8177828686666551,0.41348118185334515,0.0658719306906026,-0.0675749363535969,17,phase_compare
