target,target_col,horizon,coefficient_post,coefficient_pre,p_value_post,p_value_pre,row_count_post,row_count_pre,t_value_post,t_value_pre
CPI,cpi_target_12,12,-0.375800759128714,0.1916392496875831,0.0,0.04639010429639668,5,35,-92105689240372.78,1.9918264389822617
CPI,cpi_target_3,3,5.328491868504354,-0.889705651159816,0.0,0.03802936913643674,4,26,128427024055100.33,-2.0745380460213902
CPI,cpi_target_6,6,-0.7009087104294611,-0.5175687780705489,0.3944367740913597,7.089049014101586e-05,12,33,-0.851598857230248,-3.9732771238947437
PCE,pce_target_12,12,-1.9496218535204122,0.19539658309201552,2.2909433980457534e-06,0.0009672954008200959,7,37,-4.725903581633482,3.299870246024527
PCE,pce_target_3,3,2.0672661589338226e-05,-0.35210721015675034,0.0,0.296607487649026,2,26,346511222472.0894,-1.043736132848217
PCE,pce_target_6,6,0.9289212661546102,0.13589779418696052,0.319132767565104,0.45037510937550584,11,39,0.9962416078358926,0.7547898093277423
Wage,wage_target_12,12,-0.7801167962310869,1.427227319916518,0.08140607578145456,0.016379216889641907,9,22,-1.7425853219462304,2.400354142250825
Wage,wage_target_3,3,0.15491864811703993,0.5547058423876478,0.9181025975918786,2.2570394087343168e-05,16,87,0.10282407482148888,4.23781667654937
Wage,wage_target_6,6,1.1029998756889592,0.26401485073609277,9.918211177051283e-05,0.2045887376834442,18,67,3.892584072646314,1.2685860629764405
