target_name,model_name,rmse_mean,rmse_std,mae_mean,mae_std,fold_count
price_target_0,SARIMAX,0.5223559253663916,0.13503722810507143,0.40842136388430966,0.11578069169831626,5
price_target_0,ElasticTuned,0.5547310356531077,0.1708005189057685,0.43738614442009105,0.1342683976802675,5
price_target_0,ElasticNet,0.6464272117851179,0.2547412483707891,0.5164884447089448,0.22010691147568215,5
price_target_0,Ridge,1.0468229161339413,0.42792083263226727,0.905664082445519,0.4090355963637575,5
price_target_0,OLS,1.2119739382246215,0.438393779387978,1.052341791585049,0.3907237111790974,5
price_target_0,Persistence,2.433374098417212,1.6454858949972526,2.078298127940328,1.5000705304833997,5
price_target_12,SARIMAX,1.8319267205549579,1.2405239217896313,1.4654231971659095,0.9627643625414448,5
price_target_12,Persistence,1.936175631419335,1.5268055387320976,1.5923676620468084,1.289851246611153,5
price_target_12,ElasticTuned,1.9648350358075803,1.1382596258699735,1.6573899437318231,0.9755597548403064,5
price_target_12,ElasticNet,2.5466786900664884,2.1864428121596924,2.2208036655387606,1.9009655073493654,5
price_target_12,Ridge,2.9661998629452375,2.5455946652082657,2.5580131301041518,2.199843190031736,5
price_target_3,SARIMAX,1.629217244435185,0.5903576871765845,1.320905156023127,0.4886134907918325,5
price_target_3,ElasticTuned,1.9337065192570706,1.0940404154261096,1.6428161137866037,0.9203227038010445,5
price_target_3,ElasticNet,1.9777059119028944,0.7387690908516888,1.6563758884742257,0.5774104211898065,5
price_target_3,Persistence,2.1375781361251853,1.5825150174402076,1.81248822721068,1.4008696009659316,5
price_target_3,Ridge,2.525807007841745,0.7057353172869114,2.187525524219353,0.6599002289105758,5
price_target_3,OLS,2.6310811185463563,1.3781978451009356,2.2051832346488114,1.2041973198223705,5
price_target_6,ElasticTuned,1.8566923116157952,1.1211779596268758,1.6010019283519614,0.9418141259273612,5
price_target_6,SARIMAX,1.9362654889037614,0.704005715630484,1.614886705077446,0.5860525519815629,5
price_target_6,Persistence,2.1375781361251853,1.5825150174402076,1.81248822721068,1.4008696009659316,5
price_target_6,ElasticNet,2.4322158654555404,1.8029180825002848,2.1158252915913836,1.5551740648538075,5
price_target_6,Ridge,2.802535388957967,1.7262357564241322,2.4244787467095827,1.5292764757951656,5
wage_target_0,Persistence,0.5906696590840712,0.48914792027782034,0.43782311637010574,0.31881787916285004,5
wage_target_0,ElasticNet,0.8419730441171032,1.0761431802490045,0.7045137008998049,1.0102653463455438,5
wage_target_0,ElasticTuned,1.00784492044267,1.38114614693873,0.8552389517192746,1.3140906080860613,5
wage_target_0,Ridge,1.2978450155674623,2.0460342244183716,1.149645628986411,1.937190789713089,5
wage_target_0,OLS,1.546743572833035,2.134205517213365,1.3519430328303146,2.031533571578119,5
wage_target_12,Persistence,0.5596083389414153,0.5160775287717938,0.4294198428038098,0.3658631141553017,5
wage_target_12,ElasticNet,0.6541697553111577,0.6035426933758677,0.5222601873142605,0.4742067918983201,5
wage_target_12,Ridge,0.6630520921740901,0.6144316750172674,0.5261449925054933,0.4759261670397239,5
wage_target_12,ElasticTuned,0.6649929963254609,0.631811048030491,0.531205809996103,0.5072654034216769,5
wage_target_3,Persistence,0.5854564403574887,0.5397294623400207,0.43895615956852047,0.3706147773683867,5
wage_target_3,ElasticNet,0.6309248958618265,0.5590769628842196,0.4518316650558618,0.3628135914782243,5
wage_target_3,ElasticTuned,0.6709149149312726,0.5362219333342514,0.48172134002006384,0.3366058101611289,5
wage_target_3,Ridge,0.7629144140397703,0.6119233605883188,0.5476948984195611,0.41967379645578395,5
wage_target_3,OLS,1.0672455758862025,0.7345807143877237,0.8151831440831827,0.5585069799751413,5
wage_target_6,Persistence,0.5854564403574887,0.5397294623400207,0.43895615956852047,0.3706147773683867,5
wage_target_6,ElasticNet,0.6692067854958571,0.651583955427548,0.5180773912961175,0.4787996208961733,5
wage_target_6,Ridge,0.7448375656976766,0.6973622516021939,0.6064329029443589,0.5762165560248823,5
wage_target_6,ElasticTuned,0.7485930349307018,0.7345734327736768,0.5950817042850627,0.5764159729713597,5
