feature,missing_count,missing_pct,mean_all,std_all,mean_Pre-2020,std_Pre-2020,mean_Pandemic Shock (2020-2021H1),std_Pandemic Shock (2020-2021H1),mean_Post-Pandemic (2021-06+),std_Post-Pandemic (2021-06+)
consumer_sentiment,0,0.0,81.57341772151901,14.115154156208364,85.78208333333332,12.257340548226692,81.78823529411765,8.691726119774856,64.39152542372881,8.276957798103352
credit_stress,0,0.0,0.19936708860759494,0.40015819656540974,0.25,0.43391764060527876,0.17647058823529413,0.3929526239966879,0.0,0.0
fed_funds,0,0.0,2.0284493670886077,2.0271579449900066,1.7841666666666665,1.9171405150725844,0.28705882352941176,0.5006466406793612,3.5238983050847454,1.9217215853366485
high_inflation,0,0.0,0.3227848101265823,0.4682827438092158,0.2375,0.4264404582531381,0.11764705882352941,0.3321055820775357,0.7288135593220338,0.4483882428930302
hy_oas,0,0.0,5.332406859299815,2.5963214195124964,5.787971115528995,2.761390256670073,4.942963873296354,1.5945971059872919,3.591476507893973,0.7076772230587237
tight_labor,0,0.0,0.3670886075949367,0.48277544656528365,0.25,0.43391764060527876,0.17647058823529413,0.39295262399668784,0.8983050847457628,0.30484112618719755
unemployment_rate,0,0.0,5.62373417721519,1.9359522439922647,5.88125,1.8095118565502177,7.517647058823529,3.1462746411664475,4.030508474576272,0.4731604077674583
consumer_sentiment_chg_1,1,0.32,-0.1746031746031746,4.290382083781193,-0.05313807531380754,4.069261256042764,-0.9647058823529406,6.560958502428455,-0.4389830508474576,4.417637726875607
consumer_sentiment_lag_1,1,0.32,81.65269841269841,14.066967360481696,85.7255230125523,12.251639284866537,82.75294117647059,9.677106853746295,64.83728813559323,8.553682375104138
fed_funds_chg_1,1,0.32,-0.005746031746031746,0.18164937600846998,-0.016317991631799162,0.16569385347170382,-0.08764705882352941,0.2618093154321649,0.060677966101694916,0.20038638888648183
fed_funds_lag_1,1,0.32,2.023333333333333,2.0283390337093032,1.7851464435146445,1.921103685182164,0.3747058823529412,0.5821953886696762,3.46322033898305,1.9738055669520538
hy_oas_chg_1,1,0.32,-0.005451247165532878,0.6987104833776279,-0.004445108587367996,0.735265899927477,-0.022829131652661063,1.0931420064660282,-0.004519774011299434,0.3080046443076072
hy_oas_lag_1,1,0.32,5.339598173592377,2.597298349242015,5.796615744623658,2.7639292068601704,4.965793004949015,1.5727481251483926,3.595996281905273,0.705117625824447
unemployment_rate_chg_1,1,0.32,0.0009523809523809547,0.641479466053682,-0.0016736401673640182,0.15982304479260034,0.12941176470588242,2.7547152089377485,-0.025423728813559306,0.15491178840183933
unemployment_rate_lag_1,1,0.32,5.627936507936509,1.9375884271829689,5.890794979079498,1.8072446981430823,7.388235294117647,3.2643686895288755,4.0559322033898315,0.5253147452064032
consumer_sentiment_chg_3,3,0.95,-0.4897763578274761,7.096402863681713,-0.16371308016877642,6.46292160297042,-2.0882352941176463,11.311934093742613,-1.338983050847458,7.982610776560049
consumer_sentiment_lag_3,3,0.95,81.81277955271565,13.967784463766872,85.63755274261602,12.265497941309427,83.87647058823529,10.610462372804772,65.8542372881356,9.284661471070375
fed_funds_chg_3,3,0.95,-0.019776357827476047,0.4761709061620141,-0.05105485232067511,0.43456697854632337,-0.2782352941176471,0.5300145669474289,0.18033898305084745,0.5563023430675051
fed_funds_lag_3,3,0.95,2.013003194888179,2.0306824173459437,1.7859493670886075,1.9291636804325394,0.565294117647059,0.7123562806547264,3.342203389830508,2.0680826267397525
hy_oas_chg_3,3,0.95,-0.018790488577959064,1.4752732868604648,-0.013439648469918146,1.5881261617954208,-0.101227621483376,2.076078894549254,-0.016531469022257512,0.504054800268788
