target_name,split_name,model_name,feature_name,rmse_value,mae_value,row_count
cpi_target_12,pandemic_test,NeuralNet,labor,3.255590671445301,2.7215038774177738,17
cpi_target_12,post_test,NeuralNet,labor,1.4275652644827634,1.0421377150638778,45
cpi_target_12,pre_validation,Ridge,state,0.6204262362461446,0.44650092848811807,36
cpi_target_3,pandemic_test,GradientBoosting,labor,4.4590909934419365,3.704360628674305,17
cpi_target_3,post_test,NeuralNet,labor,2.6510120695228454,1.911814077418592,53
cpi_target_3,pre_validation,Lasso,tightness,1.258148393889225,0.9981826212685215,36
cpi_target_6,pandemic_test,NeuralNet,tightness,2.0979055791556562,1.7030366867164395,17
cpi_target_6,post_test,NeuralNet,tightness,1.95043130223655,1.2596591919915447,51
cpi_target_6,pre_validation,NeuralNet,macro,0.8691519865930513,0.6606698290941291,36
pce_target_12,pandemic_test,NeuralNet,labor,2.402417462368521,1.91018434742939,17
pce_target_12,post_test,NeuralNet,labor,1.0645465616757528,0.7963350943938677,45
pce_target_12,pre_validation,Ridge,state,0.4619272625452921,0.37088360361856654,36
pce_target_3,pandemic_test,Lasso,macro,3.2039713389580458,2.862933759251654,17
pce_target_3,post_test,NeuralNet,labor,2.2542612915719813,1.5269431193481937,54
pce_target_3,pre_validation,Lasso,macro,0.8555763366131927,0.7026487517271411,36
pce_target_6,pandemic_test,Lasso,tightness,2.7850353974634157,2.392326155178565,17
pce_target_6,post_test,Lasso,state,2.4832841527990595,1.8284457637900484,51
pce_target_6,pre_validation,NeuralNet,state,0.6899062717221185,0.6052032144002754,36
wage_target_12,pandemic_test,Lasso,state,2.0995900183190837,1.7773193539348646,17
wage_target_12,post_test,Ridge,macro,0.8655916062415526,0.607865421119548,46
wage_target_12,pre_validation,Lasso,state,0.1594165861289713,0.1258887226807653,27
wage_target_3,pandemic_test,GradientBoosting,macro,6.705465837331257,4.662049081654482,17
wage_target_3,post_test,NeuralNet,tightness,0.8792132104806129,0.7182134779027765,55
wage_target_3,pre_validation,ElasticNet,labor,0.43627036699033606,0.3371918406733105,27
wage_target_6,pandemic_test,GradientBoosting,labor,2.9587875831973958,2.283586981245124,17
wage_target_6,post_test,Lasso,macro,0.9359055062791667,0.673899361385215,52
wage_target_6,pre_validation,RandomForest,state,0.23195244080099567,0.19173313602297476,27
