target,target_col,horizon,model,version,params_json,rmse,mae,oos_r2_vs_persistence,row_count,train_end,test_start,test_end
CPI,cpi_target_12,12,Lasso,Default,"{""alpha"": 0.02}",4.6929449676829025,3.7718017669135304,-1.2498524350705669,45,2019-12-01,2021-06-01,2025-03-01
CPI,cpi_target_12,12,Lasso,Tuned,"{""alpha"": 0.1}",3.5268031488271316,2.6035977480585784,-0.2706488597910295,45,2019-12-01,2021-06-01,2025-03-01
CPI,cpi_target_12,12,RandomForest,Default,"{""max_depth"": 4, ""min_samples_leaf"": 5, ""n_estimators"": 400}",3.3987512088746796,2.4928912910297023,-0.18005394601667857,45,2019-12-01,2021-06-01,2025-03-01
CPI,cpi_target_12,12,RandomForest,Tuned,"{""max_depth"": 2, ""max_features"": 0.75, ""min_samples_leaf"": 2, ""n_estimators"": 400}",3.4140761607469847,2.459162227569414,-0.1907196521869663,45,2019-12-01,2021-06-01,2025-03-01
CPI,cpi_target_12,12,Ridge,Default,"{""alpha"": 1.0}",4.646699093570835,3.869020862687101,-1.2057292932286625,45,2019-12-01,2021-06-01,2025-03-01
CPI,cpi_target_12,12,Ridge,Tuned,"{""alpha"": 10.0}",4.469228113715646,3.6034942233103595,-1.0404603283250946,45,2019-12-01,2021-06-01,2025-03-01
PCE,pce_target_3,3,ElasticNet,Default,"{""alpha"": 0.03, ""l1_ratio"": 0.5}",3.200146350778714,2.3687040604173037,0.43127333122862477,54,2019-12-01,2021-06-01,2025-11-01
PCE,pce_target_3,3,ElasticNet,Tuned,"{""alpha"": 0.05, ""l1_ratio"": 0.95}",2.7780118410857484,1.9466169613326845,0.5714198046198573,54,2019-12-01,2021-06-01,2025-11-01
PCE,pce_target_3,3,GradientBoosting,Default,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250, ""subsample"": 0.9}",3.7800527108536524,2.7285766306632095,0.2064768063150647,54,2019-12-01,2021-06-01,2025-11-01
PCE,pce_target_3,3,GradientBoosting,Tuned,"{""learning_rate"": 0.02, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",2.6753741891127785,1.8876447651873565,0.6025038019406497,54,2019-12-01,2021-06-01,2025-11-01
PCE,pce_target_3,3,Huber,Default,"{""alpha"": 0.0001, ""epsilon"": 1.35}",3.408006315914379,2.3690524348135056,0.3549926028497188,54,2019-12-01,2021-06-01,2025-11-01
PCE,pce_target_3,3,Huber,Tuned,"{""alpha"": 0.001, ""epsilon"": 1.75}",3.558260977144085,2.553850116686702,0.2968637167011592,54,2019-12-01,2021-06-01,2025-11-01
PCE,pce_target_3,3,Lasso,Default,"{""alpha"": 0.02}",3.1658562803443013,2.3312928820651115,0.44339602415330803,54,2019-12-01,2021-06-01,2025-11-01
PCE,pce_target_3,3,Lasso,Tuned,"{""alpha"": 0.1}",2.5896744047800997,1.8244420749467791,0.6275617800935002,54,2019-12-01,2021-06-01,2025-11-01
PCE,pce_target_3,3,RandomForest,Default,"{""max_depth"": 4, ""min_samples_leaf"": 5, ""n_estimators"": 400}",2.95278699392728,1.9933061691164102,0.5157962462948009,54,2019-12-01,2021-06-01,2025-11-01
PCE,pce_target_3,3,RandomForest,Tuned,"{""max_depth"": 2, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""n_estimators"": 400}",2.741714441681062,1.9161191019837953,0.5825462634617323,54,2019-12-01,2021-06-01,2025-11-01
PCE,pce_target_3,3,Ridge,Default,"{""alpha"": 1.0}",3.5097722063405996,2.6529228188100036,0.3158965598258624,54,2019-12-01,2021-06-01,2025-11-01
PCE,pce_target_3,3,Ridge,Tuned,"{""alpha"": 10.0}",3.3643381100748684,2.5157810531877294,0.37141620058910363,54,2019-12-01,2021-06-01,2025-11-01
PCE,pce_target_6,6,ElasticNet,Default,"{""alpha"": 0.03, ""l1_ratio"": 0.5}",4.450181048187158,3.552219868020029,-0.19004888891397576,51,2019-12-01,2021-06-01,2025-08-01
PCE,pce_target_6,6,ElasticNet,Tuned,"{""alpha"": 0.05, ""l1_ratio"": 0.8}",4.086339340201209,3.2231925417550578,-0.0034097134872137502,51,2019-12-01,2021-06-01,2025-08-01
