scale_key,mean_value,std_value
Pre-2020_log_jolts_ratio,-0.7139951587685732,0.5311609867200404
Pandemic Shock (2020-2021H1)_log_jolts_ratio,-0.4842589367342268,0.5165259611662105
Post-Pandemic (2021-06+)_log_jolts_ratio,0.26799667508793656,0.2665686304373492
Pre-2020_unemployment_rate,5.88125,1.8095118565502177
Pandemic Shock (2020-2021H1)_unemployment_rate,7.517647058823529,3.1462746411664475
Post-Pandemic (2021-06+)_unemployment_rate,4.030508474576272,0.4731604077674583
Pre-2020_quits_rate,1.9074235807860263,0.29998084670337893
Pandemic Shock (2020-2021H1)_quits_rate,2.205882352941177,0.3111884241004438
Post-Pandemic (2021-06+)_quits_rate,2.3423728813559324,0.3568073902466961
Pre-2020_fed_funds,1.7841666666666665,1.9171405150725844
Pandemic Shock (2020-2021H1)_fed_funds,0.28705882352941176,0.5006466406793612
Post-Pandemic (2021-06+)_fed_funds,3.5238983050847454,1.9217215853366485
Pre-2020_consumer_sentiment,85.78208333333332,12.257340548226692
Pandemic Shock (2020-2021H1)_consumer_sentiment,81.78823529411765,8.691726119774856
Post-Pandemic (2021-06+)_consumer_sentiment,64.39152542372881,8.276957798103352
Pre-2020_hy_oas,5.787971115528995,2.761390256670073
Pandemic Shock (2020-2021H1)_hy_oas,4.942963873296354,1.5945971059872919
Post-Pandemic (2021-06+)_hy_oas,3.591476507893973,0.7076772230587237
