target,target_col,horizon,model,mae_post,mae_pre,oos_r2_post,oos_r2_pre,rmse_post,rmse_pre,rmse_change_pct,mae_change_pct
CPI,cpi_target_6,6,ElasticNet,0.32872323378619595,,0.32278704916296336,,0.32872323378619595,,,
CPI,cpi_target_6,6,GradientBoosting,1.0355199666762114,,-7.742545905311616,,1.0355199666762114,,,
CPI,cpi_target_6,6,Huber,0.43621437742727576,,-1.7444845686107195,,0.43621437742727576,,,
CPI,cpi_target_6,6,OLS,0.5172161640165718,,-3.78023229059074,,0.5172161640165718,,,
CPI,cpi_target_6,6,Persistence,0.3745205688668207,,0.0,,0.3745205688668207,,,
CPI,cpi_target_6,6,RandomForest,1.012870087546597,,-7.375206138291318,,1.012870087546597,,,
CPI,cpi_target_6,6,Ridge,0.4222207886634856,,-1.0231711986278864,,0.4222207886634856,,,
PCE,pce_target_12,12,ElasticNet,0.9805777718442429,,-2.5518283773082255,,1.1319953125294249,,,
PCE,pce_target_12,12,GradientBoosting,2.9285953469300368,,-22.80278710504474,,2.9304380736767257,,,
PCE,pce_target_12,12,Huber,1.034377446522307,,-3.037964912422515,,1.2069795519685085,,,
PCE,pce_target_12,12,OLS,13.775443155755724,,-526.2488109650351,,13.791974535726345,,,
PCE,pce_target_12,12,Persistence,0.5915903207546277,,0.0,,0.6006460731616088,,,
PCE,pce_target_12,12,RandomForest,2.941911982495789,,-23.019474109087152,,2.9437463733049767,,,
PCE,pce_target_12,12,Ridge,1.0138195241783183,,-3.1590924958756563,,1.2249487859539763,,,
PCE,pce_target_6,6,ElasticNet,0.393354018080343,,-0.25945629617100346,,0.393354018080343,,,
PCE,pce_target_6,6,GradientBoosting,1.135094619241229,,-6.361675438028192,,1.135094619241229,,,
PCE,pce_target_6,6,Huber,0.31830585719174964,,-0.0419056172314339,,0.31830585719174964,,,
PCE,pce_target_6,6,OLS,0.42743840608343175,,-0.4623196632427975,,0.42743840608343175,,,
PCE,pce_target_6,6,Persistence,0.4806364881088025,,0.0,,0.4806364881088025,,,
PCE,pce_target_6,6,RandomForest,1.1378988971852642,,-6.531712836748777,,1.1378988971852642,,,
PCE,pce_target_6,6,Ridge,0.4184117461288725,,-0.3988207062941485,,0.4184117461288725,,,
Wage,wage_target_12,12,ElasticNet,1.2667870116475324,,-41.340910303914114,,1.3002422235122455,,,
Wage,wage_target_12,12,GradientBoosting,0.7017449159972253,,-11.396538637817311,,0.703549062687432,,,
Wage,wage_target_12,12,Huber,0.40236576285457043,,-3.736215459229456,,0.4348704473043066,,,
Wage,wage_target_12,12,OLS,0.6184873452569735,,-9.381198514359486,,0.6438251201386717,,,
Wage,wage_target_12,12,Persistence,0.19337433861508657,,0.0,,0.19982239943318045,,,
Wage,wage_target_12,12,RandomForest,0.6909483523000599,,-11.01996259403309,,0.6927806160875022,,,
Wage,wage_target_12,12,Ridge,0.611551861175905,,-9.318844321957105,,0.6418886549197391,,,
Wage,wage_target_3,3,ElasticNet,0.46014978110060495,0.3804217347279194,-1.4241087263813528,0.39895676448880013,0.4908037405679304,0.4655393632979406,5.4269046318691005,20.95780527096005
Wage,wage_target_3,3,GradientBoosting,0.4886994961821761,0.41943529981057387,-3.231184981677238,0.23752034309931486,0.5320928271937906,0.5067536546655824,5.000293987998972,16.513678367768158
Wage,wage_target_3,3,Huber,0.5889908833357104,0.37467253733515293,-2.573204376631106,0.4014329847643561,0.6343541625172829,0.46458174717262113,36.54306618326544,57.201509223198
Wage,wage_target_3,3,OLS,0.5076098835449419,0.3838153937822218,-2.030921274995248,0.39906970105115047,0.5357181118275333,0.4650633628983343,15.192499466926312,32.25365417025496
Wage,wage_target_3,3,Persistence,0.3353178618031194,0.4950140383187751,0.0,0.0,0.3927852486646958,0.6024733058174012,-34.80453907716504,-32.260938913578016
Wage,wage_target_3,3,RandomForest,0.4866578041574965,0.3836071991974376,-2.877510355824082,0.25496110660173665,0.5178039753305002,0.517521200276351,0.05464028410782085,26.863574295700367
Wage,wage_target_3,3,Ridge,0.45028390216865855,0.38077988518319056,-1.5444292863164042,0.4033772757803795,0.48437062411209064,0.46337772570223346,4.530407321163987,18.253069473990237
Wage,wage_target_6,6,ElasticNet,0.33125255577784646,0.17736802507257252,0.11185556961602332,0.6018986267245952,0.3924723952040775,0.20880855636980852,87.95800422516824,86.76001812745562
Wage,wage_target_6,6,GradientBoosting,0.4527398269184447,0.32184007196247094,-0.27690365976334225,-0.46874990392632054,0.5173552456716968,0.4010748027383243,28.99220847070716,40.67229856052161
Wage,wage_target_6,6,Huber,0.401856870867307,0.17494188351973053,-0.342270924671602,0.651814502776545,0.46604558408245794,0.1952795617841522,138.65558680308325,129.70878258663782
Wage,wage_target_6,6,OLS,0.34177315293574917,0.1741824694712138,0.10540137070734582,0.6376082413874571,0.39873883403543026,0.1992235200163553,100.14646563954686,96.21558585850237
Wage,wage_target_6,6,Persistence,0.422591733433668,0.2508769411019397,0.0,0.0,0.46450048200059674,0.33094166913044615,40.35720651952903,68.44582510353348
Wage,wage_target_6,6,RandomForest,0.5125806535150211,0.1865075201817873,-1.5956950789681,0.49705692403527446,0.5771683520730189,0.23469880036383792,145.91874827577865,174.83109153744212
Wage,wage_target_6,6,Ridge,0.31518850249036817,0.17506164798734156,0.17267134823863856,0.6287345135517189,0.372391199420894,0.20164791790146142,84.67396207029974,80.044290747885
