target,target_col,horizon,model,regime,rmse,mae,oos_r2,row_count,train_end,test_start,test_end,fold_id
CPI,cpi_target_6,6,Huber,transfer,0.5341693224426298,0.4566046349021202,0.9855342387424278,12,2019-12-01,2021-06-01,2025-08-01,1
CPI,cpi_target_6,6,RandomForest,transfer,1.2698799979167181,0.5709819522839381,0.9182460447341728,12,2019-12-01,2021-06-01,2025-08-01,1
CPI,cpi_target_6,6,GradientBoosting,transfer,1.3489908231514522,0.7841938328910235,0.9077425602185764,12,2019-12-01,2021-06-01,2025-08-01,1
CPI,cpi_target_12,12,Persistence,transfer,2.467369957286404,2.359168545472805,0.0,5,2019-11-01,2022-04-01,2024-08-01,1
CPI,cpi_target_12,12,OLS,transfer,0.3488987654178758,0.27650289279226403,0.9800045896853913,5,2019-11-01,2022-04-01,2024-08-01,1
CPI,cpi_target_12,12,Ridge,transfer,0.3620770758747527,0.28380355495102594,0.9784655634138372,5,2019-11-01,2022-04-01,2024-08-01,1
CPI,cpi_target_12,12,ElasticNet,transfer,0.3815693485603531,0.30754873653015824,0.9760845577554643,5,2019-11-01,2022-04-01,2024-08-01,1
CPI,cpi_target_12,12,Huber,transfer,0.361586051603787,0.28311582033458943,0.9785239308825717,5,2019-11-01,2022-04-01,2024-08-01,1
CPI,cpi_target_12,12,RandomForest,transfer,1.1679601637765125,0.942486788530085,0.7759280386086818,5,2019-11-01,2022-04-01,2024-08-01,1
CPI,cpi_target_12,12,GradientBoosting,transfer,0.9565442995461818,0.7147199873704253,0.849706004236004,5,2019-11-01,2022-04-01,2024-08-01,1
PCE,pce_target_3,3,Persistence,transfer,0.47183716650630875,0.4569988490857215,0.0,2,2019-10-01,2025-03-01,2025-06-01,1
PCE,pce_target_3,3,OLS,transfer,0.38674395032362174,0.3567376518019265,0.32816478595382736,2,2019-10-01,2025-03-01,2025-06-01,1
PCE,pce_target_3,3,Ridge,transfer,0.37260160491628364,0.3400091539335983,0.3764013762181385,2,2019-10-01,2025-03-01,2025-06-01,1
