label,y_col,term,coef,std_error,t_stat,p_value,r2,adj_r2,obs,model_name
full_sample,wage_forward_3,const,3.8300954608545847,1.2533148001809882,3.055972418343332,0.002243318912385682,0.2388166427613284,0.22491375039167227,224,interaction_post
full_sample,wage_forward_3,log_jolts_ratio,1.5037232788236699,0.7139341958865657,2.1062491298043815,0.03518271756521153,0.2388166427613284,0.22491375039167227,224,interaction_post
full_sample,wage_forward_3,post_regime,0.15310992575900476,0.46970743397144155,0.3259687087863164,0.7444480299738144,0.2388166427613284,0.22491375039167227,224,interaction_post
full_sample,wage_forward_3,jolts_x_post,-0.2577365126286114,0.5415497479794144,-0.4759239822200206,0.6341285359192194,0.2388166427613284,0.22491375039167227,224,interaction_post
full_sample,wage_forward_3,ahe_12m_pct_lag_1,-0.017341564482656575,0.2589975757511607,-0.06695647413826751,0.9466163540044805,0.2388166427613284,0.22491375039167227,224,interaction_post
full_sample,wage_forward_6,const,3.022820999935045,0.7283027167844586,4.150500788025551,3.317486260462305e-05,0.4462219116883114,0.43601402065952455,222,interaction_post
full_sample,wage_forward_6,log_jolts_ratio,1.220405728975744,0.4317571143406471,2.8266024772735303,0.004704468862371923,0.4462219116883114,0.43601402065952455,222,interaction_post
full_sample,wage_forward_6,post_regime,0.06577759962776833,0.3639266515941803,0.18074411241833932,0.8565684322702737,0.4462219116883114,0.43601402065952455,222,interaction_post
full_sample,wage_forward_6,jolts_x_post,-0.6571807799168357,0.5087992463271325,-1.2916308046067766,0.19648503083636237,0.4462219116883114,0.43601402065952455,222,interaction_post
full_sample,wage_forward_6,ahe_12m_pct_lag_1,0.22068317269328075,0.1457808034140798,1.5138013203730685,0.13007623764980655,0.4462219116883114,0.43601402065952455,222,interaction_post
full_sample,wage_forward_12,const,2.367192643850437,0.3767921634979803,6.282489056763851,3.331947320377015e-10,0.6783369802469537,0.6722391030952372,216,interaction_post
full_sample,wage_forward_12,log_jolts_ratio,1.04580163594485,0.22910987619426007,4.564629222086109,5.003779109896804e-06,0.6783369802469537,0.6722391030952372,216,interaction_post
full_sample,wage_forward_12,post_regime,-0.04082892028386387,0.33243205824771704,-0.12281884153735723,0.9022505538305057,0.6783369802469537,0.6722391030952372,216,interaction_post
full_sample,wage_forward_12,jolts_x_post,-1.3255987271900487,0.6209897490273892,-2.134654765664388,0.032789220448343905,0.6783369802469537,0.6722391030952372,216,interaction_post
full_sample,wage_forward_12,ahe_12m_pct_lag_1,0.4392328508690796,0.08825017005060627,4.9771331955191185,6.453291651998132e-07,0.6783369802469537,0.6722391030952372,216,interaction_post
full_sample,cpi_forward_3,const,2.9481445536120217,0.9337846161137168,3.1571997468557513,0.0015929218903428404,0.12270852718213776,0.11064953786505383,296,interaction_post
