mean_pre,mean_post,t_stat,p_value,variable
0.5593969722668176,1.3770959549667254,-18.308122257438708,0.0,jolts_ratio
5.88125,4.019298245614036,7.696076446507486,2.1249668691325496e-13,unemployment_rate
1.9074235807860265,2.3578947368421055,-9.780497948202806,0.0,quits_rate
2.482107010042524,4.354296881953132,-21.852492919858783,0.0,ahe_private_12m_pct
2.080184745415816,4.443993322382763,-11.229238231602658,0.0,cpi_all_12m_pct
0.5593969722668176,1.3770959549667254,-18.308122257438708,0.0,jolts_ratio
5.88125,4.019298245614036,7.696076446507486,2.1249668691325496e-13,unemployment_rate
1.9074235807860265,2.3578947368421055,-9.780497948202806,0.0,quits_rate
2.482107010042524,4.354296881953132,-21.852492919858783,0.0,ahe_private_12m_pct
2.080184745415816,4.443993322382763,-11.229238231602658,0.0,cpi_all_12m_pct
