target_name,model_name_best,split_name,rmse_value_best,mae_value_best,row_count,model_name_base,rmse_mean_base,mae_mean_base,rmse_gain,mae_gain,rmse_gain_pct,mae_gain_pct
price_target_0,ElasticTuned,holdout,0.21975094713981325,0.17870473292210787,24,ElasticNet,0.6464272117851179,0.5164884447089448,0.4266762646453046,0.33778371178683697,66.00530684143573,65.40005207225637
price_target_12,ElasticTuned,holdout,0.32014573958371073,0.262578295546236,24,Persistence,1.936175631419335,1.5923676620468084,1.6160298918356242,1.3297893665005724,83.46504653872621,83.51019668355227
price_target_3,SARIMAX,holdout,0.33457821960212847,0.2801135534693157,24,ElasticNet,1.9777059119028944,1.6563758884742257,1.6431276923007658,1.37626233500491,83.08250900255405,83.0887689552555
price_target_6,SARIMAX,holdout,0.3073939837013592,0.25863935427196366,24,Persistence,2.1375781361251853,1.81248822721068,1.830184152423826,1.5538488729387163,85.61952059172087,85.73014983551118
wage_target_0,ElasticTuned,holdout,0.152760453569522,0.11456389639779023,24,Persistence,0.5906696590840712,0.43782311637010574,0.4379092055145492,0.3232592199723155,74.13775175003879,73.83329200440258
wage_target_12,Persistence,holdout,0.2703093726505652,0.22354248327027446,24,Persistence,0.5596083389414153,0.4294198428038098,0.28929896629085006,0.20587735953353534,51.6966860855046,47.943140724308606
wage_target_3,ElasticTuned,holdout,0.21024664549186645,0.169509714947267,24,Persistence,0.5854564403574887,0.43895615956852047,0.3752097948656222,0.26944644462125344,64.08842212693285,61.383452253206904
wage_target_6,ElasticTuned,holdout,0.21926665654071062,0.16937255578267277,24,Persistence,0.5854564403574887,0.43895615956852047,0.366189783816778,0.26958360378584767,62.547741996514205,61.414698919099244
