feature,vif
epop_ratio,1088.9697
unemployment_rate,909.5507
lfpr,666.7562
pce_price_12m_pct,113.7696
cpi_all_12m_pct,95.361
quits_rate,17.5519
jolts_ratio,13.9293
fed_funds,6.8104
ahe_private_12m_pct,6.1582
treasury_10y,5.8969
consumer_sentiment,5.8886
hires_rate,4.8119
hy_oas,4.4156
layoffs_discharges_rate,1.5913
