model,mean_pre_rmse,mean_post_rmse,mean_rmse_change_pct,mean_pre_mae,mean_post_mae,mean_mae_change_pct
Persistence,0.46670748747392365,0.4188185433726175,2.776333721181995,0.3729454897103574,0.3996718852636875,18.09244309497773
GradientBoosting,0.45391422870195336,1.1423416325245144,16.996251229353064,0.3706376858865224,1.1237323619908872,28.592988464144884
Ridge,0.33251282180184744,0.5940386331998431,44.602184695731864,0.27792076658526604,0.5385793874676014,49.14868011093762
ElasticNet,0.33717395983387455,0.6729318206133695,46.69245442851867,0.278894879900246,0.6268073953727943,53.85891169920784
OLS,0.33214344145734476,2.7191518619713304,57.669482553236584,0.2789989316267178,2.6979946845988985,64.23462001437866
RandomForest,0.37611000032009445,1.1470447169213098,72.98669427994324,0.28505735968961243,1.1304779628667045,100.84733291657125
Huber,0.32993065447838665,0.5827949967485969,87.59932649317435,0.2748072104274417,0.5303518663664867,93.45514590491791
