target,target_col,horizon,model,params_json,mean_rmse,mean_mae,mean_oos_r2_vs_persistence,fold_count
CPI,cpi_target_12,12,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.95}",1.5866016990794007,1.273578935097886,-2.6986513261184304,3
CPI,cpi_target_12,12,GradientBoosting,"{""learning_rate"": 0.02, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",1.1361493641319698,0.9828017716407178,-1.2646232837242002,3
CPI,cpi_target_12,12,Huber,"{""alpha"": 0.001, ""epsilon"": 1.75}",2.6551809075711366,2.397497788354939,-9.11819821920277,3
CPI,cpi_target_12,12,Lasso,"{""alpha"": 0.1}",1.3807345484861753,1.0944517473261195,-2.0858651854646744,3
CPI,cpi_target_12,12,RandomForest,"{""max_depth"": 2, ""max_features"": 0.75, ""min_samples_leaf"": 2, ""n_estimators"": 400}",1.1333472846140173,0.9734960353519697,-1.2048724400438644,3
CPI,cpi_target_12,12,Ridge,"{""alpha"": 10.0}",1.580346138018206,1.2851078325443663,-2.80889533120537,3
CPI,cpi_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.95}",3.1279357800246115,2.4109182355403465,-0.31190955344387383,4
CPI,cpi_target_3,3,GradientBoosting,"{""learning_rate"": 0.02, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.9}",2.958443078452076,2.1358515366568036,-0.15228340403721996,4
CPI,cpi_target_3,3,Huber,"{""alpha"": 0.001, ""epsilon"": 1.75}",3.8828538605975913,3.2122497498253706,-1.3412176586634246,4
CPI,cpi_target_3,3,Lasso,"{""alpha"": 0.1}",2.9994370259928127,2.282927314138626,-0.20698871271423142,4
CPI,cpi_target_3,3,RandomForest,"{""max_depth"": 2, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""n_estimators"": 200}",2.9094334745804034,2.127893245672497,-0.1576868931206403,4
CPI,cpi_target_3,3,Ridge,"{""alpha"": 10.0}",3.175161001964357,2.4804655549725334,-0.32608229392222476,4
CPI,cpi_target_6,6,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.5}",2.4296917107293736,1.9128501526058022,-0.5672901941569377,4
CPI,cpi_target_6,6,GradientBoosting,"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.9}",2.2810055638750524,1.7112362152825518,-0.47292848336667687,4
CPI,cpi_target_6,6,Huber,"{""alpha"": 0.001, ""epsilon"": 1.1}",2.5179756587752267,2.051814079022572,-1.2499523401159012,4
CPI,cpi_target_6,6,Lasso,"{""alpha"": 0.1}",2.4132243677560163,1.9038000890861642,-0.5549120163799212,4
