feature,missing_count,missing_pct,mean_all,std_all,mean_Pre-2020,std_Pre-2020,mean_Post-Pandemic (2021-06+),std_Post-Pandemic (2021-06+)
consumer_sentiment,0,0.0,81.57341772151901,14.115154156208364,85.78208333333332,12.257340548226692,64.39152542372881,8.276957798103352
credit_stress,0,0.0,0.19936708860759494,0.40015819656540974,0.25,0.43391764060527876,0.0,0.0
fed_funds,0,0.0,2.0284493670886077,2.0271579449900066,1.7841666666666665,1.9171405150725844,3.5238983050847454,1.9217215853366485
high_inflation,0,0.0,0.3227848101265823,0.4682827438092158,0.2375,0.4264404582531381,0.7288135593220338,0.4483882428930302
hy_oas,0,0.0,5.332406859299815,2.5963214195124964,5.787971115528995,2.761390256670073,3.591476507893973,0.7076772230587237
tight_labor,0,0.0,0.3670886075949367,0.48277544656528365,0.25,0.43391764060527876,0.8983050847457628,0.30484112618719755
unemployment_rate,0,0.0,5.62373417721519,1.9359522439922647,5.88125,1.8095118565502177,4.030508474576272,0.4731604077674583
consumer_sentiment_chg_1,1,0.32,-0.1746031746031746,4.290382083781193,-0.05313807531380754,4.069261256042764,-0.4389830508474576,4.417637726875607
fed_funds_chg_1,1,0.32,-0.005746031746031746,0.18164937600846998,-0.016317991631799162,0.16569385347170382,0.060677966101694916,0.20038638888648183
hy_oas_chg_1,1,0.32,-0.005451247165532878,0.6987104833776279,-0.004445108587367996,0.735265899927477,-0.004519774011299434,0.3080046443076072
unemployment_rate_chg_1,1,0.32,0.0009523809523809547,0.641479466053682,-0.0016736401673640182,0.15982304479260034,-0.025423728813559306,0.15491178840183933
unemployment_rate_lag_1,1,0.32,5.627936507936509,1.9375884271829689,5.890794979079498,1.8072446981430823,4.0559322033898315,0.5253147452064032
consumer_sentiment_chg_3,3,0.95,-0.4897763578274761,7.096402863681713,-0.16371308016877642,6.46292160297042,-1.338983050847458,7.982610776560049
consumer_sentiment_lag_3,3,0.95,81.81277955271565,13.967784463766872,85.63755274261602,12.265497941309427,65.8542372881356,9.284661471070375
fed_funds_chg_3,3,0.95,-0.019776357827476047,0.4761709061620141,-0.05105485232067511,0.43456697854632337,0.18033898305084745,0.5563023430675051
hy_oas_chg_3,3,0.95,-0.018790488577959064,1.4752732868604648,-0.013439648469918146,1.5881261617954208,-0.016531469022257512,0.504054800268788
hy_oas_lag_3,3,0.95,5.354206479695853,2.599109177230858,5.8111514856349755,2.7710437963049954,3.6080079769162308,0.6986905148644544
unemployment_rate_chg_3,3,0.95,0.0035143769968051164,1.085490161917446,-0.005485232067510537,0.3377572415657977,-0.08135593220338981,0.3224232473602674
unemployment_rate_lag_3,3,0.95,5.636102236421725,1.9410726323023535,5.910126582278481,1.8024885060431057,4.115254237288136,0.6429494427815574
unemployment_rate_chg_6,6,1.9,0.007419354838709679,1.3981413175930202,-0.009829059829059817,0.5980203147337935,-0.18813559322033901,0.5801559676627728
unemployment_rate_lag_6,6,1.9,5.648064516129032,1.9466125574696758,5.93974358974359,1.794747205190227,4.21864406779661,0.8234650456897505
jolts_ratio,11,3.48,0.7203154130325371,0.4336015785567933,0.5593969722668177,0.2841102905719677,1.353864957155629,0.3618216131575184
log_jolts_ratio,11,3.48,-0.5112311129583504,0.6229391193499093,-0.7139951587685732,0.5311609867200404,0.26799667508793656,0.2665686304373492
quits_rate,11,3.48,2.0081967213114753,0.35831067542119616,1.9074235807860263,0.29998084670337893,2.3423728813559324,0.3568073902466961
log_jolts_ratio_chg_1,12,3.8,-0.00022814696879562777,0.10793872584837033,0.0010392050641816095,0.06158128296340407,-0.0041281687069238135,0.061597265086802785
quits_rate_chg_1,12,3.8,-0.0016447368421052646,0.10194766067331908,0.0004385964912280686,0.08879903907561595,-0.015254237288135599,0.10956585064830902
log_jolts_ratio_std_3,13,4.11,0.05119567144695282,0.0732502779634373,0.04165455722525912,0.024190935488347186,0.043409953010045466,0.023549436647905563
log_jolts_ratio_chg_3,14,4.43,0.00023763209642208716,0.19283519339797345,0.004122957743443758,0.1039249824473174,-0.00404034115946942,0.11221651458927136
quits_rate_chg_3,14,4.43,-0.003973509933774835,0.1377950689376069,0.0,0.10241527663824813,-0.03559322033898306,0.13615750497177992
quits_rate_lag_3,14,4.43,2.0092715231788083,0.35992819390507863,1.9022123893805314,0.29850660744825314,2.3779661016949154,0.3459458780723234
jolts_ratio_lag_6,17,5.38,0.7165009003796313,0.43706782118655707,0.5423069462252331,0.26770394830656724,1.3462213315990168,0.37494754579866857
log_jolts_ratio_chg_6,17,5.38,0.002620208078978316,0.28191083684582463,0.010701487185466884,0.18502965994479714,0.010855567502424515,0.22610670258388632
log_jolts_ratio_lag_6,17,5.38,-0.5195915002978617,0.6263161561334201,-0.7379764087411466,0.5173804374205042,0.2576239758526995,0.2880422806672627
quits_rate_chg_6,17,5.38,-0.008026755852842809,0.1794915991935303,-3.982862868610427e-18,0.13355836865519824,-0.057627118644067804,0.2010347283693048
quits_rate_lag_6,17,5.38,2.009364548494983,0.36173416795925517,1.8964125560538119,0.29620064149460507,2.3966101694915256,0.3347495727353845
log_jolts_ratio_std_6,20,6.33,0.07465063413338383,0.09529768260782304,0.05737911369735355,0.03571929194395757,0.06639636598565186,0.03990706267300748
log_jolts_ratio_std_12,26,8.23,0.11911738246703439,0.122982150234052,0.09082379435398133,0.06432454389006305,0.12369793314876722,0.08951044771629356
