target,target_col,horizon,model,regime,term,coefficient,std_error,t_value,p_value,row_count,r_squared
Wage,wage_target_3,3,log_jolts_ratio,Pre-2020,const,1.9748871094567595,0.32145373547002437,6.143612257512304,8.066561561308829e-10,87,0.5862679735619352
Wage,wage_target_3,3,log_jolts_ratio,Pre-2020,log_jolts_ratio,0.5547058423876478,0.1308942516218789,4.23781667654937,2.2570394087343168e-05,87,0.5862679735619352
Wage,wage_target_3,3,log_jolts_ratio,Pre-2020,wage_target_3_lag,0.22394804988275624,0.11395897849781522,1.9651637179869044,0.04939529177572304,87,0.5862679735619352
Wage,wage_target_3,3,log_jolts_ratio,Pre-2020,fed_funds,0.11560770106597656,0.044196104587724924,2.6157893810868926,0.008902145090559069,87,0.5862679735619352
Wage,wage_target_3,3,log_jolts_ratio,Pre-2020,hy_oas,0.0292067993365815,0.015123343533833345,1.931239561624796,0.053453433668753034,87,0.5862679735619352
Wage,wage_target_3,3,log_jolts_ratio,Post-Pandemic (2021-06+),const,1.6784610464309901,1.6446509646576322,1.0205576031023678,0.30746408492462207,16,0.5810841489748164
Wage,wage_target_3,3,log_jolts_ratio,Post-Pandemic (2021-06+),log_jolts_ratio,0.15491864811703993,1.506637899596875,0.10282407482148888,0.9181025975918786,16,0.5810841489748164
Wage,wage_target_3,3,log_jolts_ratio,Post-Pandemic (2021-06+),wage_target_3_lag,0.44888441682863633,0.1533838001460699,2.926543848836425,0.003427511850842564,16,0.5810841489748164
Wage,wage_target_3,3,log_jolts_ratio,Post-Pandemic (2021-06+),fed_funds,-0.0746454828276154,0.05929550303901034,-1.2588725788953397,0.20807635968038252,16,0.5810841489748164
Wage,wage_target_3,3,log_jolts_ratio,Post-Pandemic (2021-06+),hy_oas,0.28541711739988396,0.4521607698932799,0.631229280389028,0.5278906194814597,16,0.5810841489748164
Wage,wage_target_6,6,log_jolts_ratio,Pre-2020,const,0.4549060705542769,1.1617425775172725,0.3915721773118137,0.6953743487906772,67,0.4788267151158129
Wage,wage_target_6,6,log_jolts_ratio,Pre-2020,log_jolts_ratio,0.26401485073609277,0.20811741389988445,1.2685860629764405,0.2045887376834442,67,0.4788267151158129
Wage,wage_target_6,6,log_jolts_ratio,Pre-2020,wage_target_6_lag,1.0039899257091167,0.547857044012522,1.832576466218018,0.06686558059013681,67,0.4788267151158129
Wage,wage_target_6,6,log_jolts_ratio,Pre-2020,fed_funds,-0.06397251404115528,0.1188692991483248,-0.5381752437299269,0.5904560695589982,67,0.4788267151158129
Wage,wage_target_6,6,log_jolts_ratio,Pre-2020,hy_oas,-0.035728306045580784,0.03751443293278934,-0.9523882743900576,0.34090010391192826,67,0.4788267151158129
Wage,wage_target_6,6,log_jolts_ratio,Post-Pandemic (2021-06+),const,2.0021364177498104,0.7522495239790504,2.6615323159786652,0.007778587370954304,18,0.863977070601285
Wage,wage_target_6,6,log_jolts_ratio,Post-Pandemic (2021-06+),log_jolts_ratio,1.1029998756889592,0.2833592942641574,3.892584072646314,9.918211177051283e-05,18,0.863977070601285
Wage,wage_target_6,6,log_jolts_ratio,Post-Pandemic (2021-06+),wage_target_6_lag,0.7025588191859908,0.1181253790805074,5.94756880066533,2.721543875504647e-09,18,0.863977070601285
Wage,wage_target_6,6,log_jolts_ratio,Post-Pandemic (2021-06+),fed_funds,0.033234901697652225,0.045295685988577965,0.7337321639423441,0.46311199154977534,18,0.863977070601285
Wage,wage_target_6,6,log_jolts_ratio,Post-Pandemic (2021-06+),hy_oas,-0.33187865543044204,0.08160554377271716,-4.066864088973789,4.7650014172592996e-05,18,0.863977070601285
Wage,wage_target_12,12,log_jolts_ratio,Pre-2020,const,2.576017510891715,1.0458274781568477,2.4631381032669495,0.013772685492739127,22,0.6099662003370296
