split,target_col,target,horizon,model,rmse,mae,oos_r2,row_count,ar_rmse,ar_mae,ar_oos_r2,rmse_gain_vs_ar,mae_gain_vs_ar
Expanding Window,wage_target_3,Wage,3,Ridge,0.7922897143856874,0.6260426029204611,0.3832925432338956,54,0.844577691496132,0.6783328272746383,0.2600324019195857,0.05228797711044464,0.052290224354177184
Expanding Window,wage_target_6,Wage,6,OLS,0.9269683475979372,0.6992217447310276,0.7031443078796841,45,1.0265666641379394,0.6893510953133317,0.5525708717628405,0.09959831654000217,-0.009870649417695887
Pre to Post,cpi_target_3,CPI,3,AR,2.2018087299073987,1.8190222862291896,0.8758488196562357,4,2.2018087299073987,1.8190222862291896,0.8758488196562357,0.0,0.0
Pre to Post,cpi_target_6,CPI,6,AR,0.30393185297128206,0.25099246744217385,0.9953168739910304,12,0.30393185297128206,0.25099246744217385,0.9953168739910304,0.0,0.0
Pre to Post,cpi_target_12,CPI,12,OLS,0.3488987654178758,0.27650289279226403,0.9800045896853913,5,0.6369634831083287,0.5572713537735183,0.9333560813960732,0.28806471769045294,0.2807684609812543
Pre to Post,pce_target_3,PCE,3,Huber,0.3517992492270024,0.2994813663491762,0.444088674118692,2,0.6238815256219775,0.446693528313707,-0.7483160987649644,0.2720822763949751,0.1472121619645308
Pre to Post,pce_target_6,PCE,6,OLS,0.4829098452683747,0.3599787542834269,0.9702933031746896,11,0.5643022703561069,0.36625319370662823,0.9594355268346084,0.0813924250877322,0.006274439423201328
Pre to Post,pce_target_12,PCE,12,AR,0.5419697449052941,0.43550520813421734,0.9770499459577556,7,0.5419697449052941,0.43550520813421734,0.9770499459577556,0.0,0.0
Pre to Post,wage_target_3,Wage,3,OLS,0.7795874029724681,0.6357232581041943,0.7144222412295298,16,1.0141105421142114,0.9062519502644002,0.5167572468928356,0.23452313914174328,0.2705286921602059
Pre to Post,wage_target_6,Wage,6,ElasticNet,0.35755862529873955,0.28278081763051255,0.9954048754413507,18,0.4318364457756242,0.31443212996156195,0.9932974300369423,0.07427782047688464,0.0316513123310494
Pre to Post,wage_target_12,Wage,12,Huber,0.674452635591895,0.41433463751159905,0.9143234898375829,9,1.290382413935479,1.2246440367524494,0.6863857938818423,0.615929778343584,0.8103093992408503
