label,y_col,term,coef,std_error,t_stat,p_value,r2,adj_r2,obs,model_name
Pre-2020,wage_forward_3,const,3.0472781678854517,0.11461673743130545,26.586676921525633,9.679094092714997e-156,0.3220985043101461,0.3179649586047202,166,tightness_only
Pre-2020,wage_forward_3,log_jolts_ratio,0.72271313178316,0.08299657113081327,8.707746861542883,3.0997460225253454e-18,0.3220985043101461,0.3179649586047202,166,tightness_only
Post-Pandemic (2021-06+),wage_forward_3,const,3.9181404207728137,0.19155827681901205,20.45403877001226,5.530149287074645e-93,0.15650997803317912,0.14028901607227873,54,tightness_only
Post-Pandemic (2021-06+),wage_forward_3,log_jolts_ratio,1.2094594570256787,0.2950083512779398,4.099746504756389,4.136029216117306e-05,0.15650997803317912,0.14028901607227873,54,tightness_only
Pre-2020,wage_forward_6,const,3.3696003464278106,0.29510618814856915,11.418263939390553,3.3893673632286684e-30,0.27875748149477253,0.27435966125998457,166,tightness_only
Pre-2020,wage_forward_6,log_jolts_ratio,1.0189088066573135,0.25685223775185184,3.966906481234141,7.281154565428595e-05,0.27875748149477253,0.27435966125998457,166,tightness_only
Post-Pandemic (2021-06+),wage_forward_6,const,3.9057789308675126,0.19411357173519683,20.121101765082372,4.822415122010208e-90,0.1763531230927533,0.15988018555460837,52,tightness_only
Post-Pandemic (2021-06+),wage_forward_6,log_jolts_ratio,1.0521488443473317,0.28517050544129696,3.68954300767938,0.0002246572483481824,0.1763531230927533,0.15988018555460837,52,tightness_only
Pre-2020,wage_forward_12,const,3.384644757580129,0.22917799402849331,14.768628951169378,2.3341294553275064e-49,0.545420519127727,0.5426486930248473,166,tightness_only
Pre-2020,wage_forward_12,log_jolts_ratio,1.0458051268685993,0.2025229222176656,5.1638852304560325,2.418760332813252e-07,0.545420519127727,0.5426486930248473,166,tightness_only
Post-Pandemic (2021-06+),wage_forward_12,const,3.8985742362364544,0.23107592028139573,16.87139980439725,7.304468069766749e-64,0.14875910264568726,0.12941271861490744,46,tightness_only
Post-Pandemic (2021-06+),wage_forward_12,log_jolts_ratio,0.804088437282439,0.3559340370063525,2.259093971583527,0.02387754006413164,0.14875910264568726,0.12941271861490744,46,tightness_only
Pre-2020,cpi_forward_3,const,2.183892820044273,0.33343765969193023,6.549628563438262,5.7680366121644915e-11,0.0018012330407506383,-0.002596118355545629,229,tightness_only
Pre-2020,cpi_forward_3,log_jolts_ratio,0.2033057411911819,0.35431846821567087,0.5737938025500586,0.5661073430495678,0.0018012330407506383,-0.002596118355545629,229,tightness_only
Post-Pandemic (2021-06+),cpi_forward_3,const,2.859768190884587,0.47516873523436876,6.018426674208807,1.761204603903165e-09,0.18345656518028086,0.1674459095955806,53,tightness_only
Post-Pandemic (2021-06+),cpi_forward_3,log_jolts_ratio,4.269901223126555,1.9478866757651851,2.192068602476177,0.028374553451344285,0.18345656518028086,0.1674459095955806,53,tightness_only
Pre-2020,cpi_forward_6,const,1.9926646157156664,0.336258290718457,5.925994007339105,3.104139069601309e-09,1.025872418902729e-06,-0.004404255951931724,229,tightness_only
Pre-2020,cpi_forward_6,log_jolts_ratio,-0.0035108608004240423,0.3209726308215535,-0.01093819367538513,0.9912727581708235,1.025872418902729e-06,-0.004404255951931724,229,tightness_only
Post-Pandemic (2021-06+),cpi_forward_6,const,3.0288267909726994,0.6191774195623574,4.891694521278753,9.99715229403025e-07,0.12372761024524737,0.10584450025025238,51,tightness_only
Post-Pandemic (2021-06+),cpi_forward_6,log_jolts_ratio,3.250385473051007,1.5688118296053917,2.0718772077774217,0.03827689403313168,0.12372761024524737,0.10584450025025238,51,tightness_only
Pre-2020,cpi_forward_12,const,1.9443757156385577,0.2912484086295507,6.67600459960514,2.455442655197962e-11,0.0010587887442194965,-0.0033418333317971616,229,tightness_only
Pre-2020,cpi_forward_12,log_jolts_ratio,-0.07445293452268434,0.2548006735671665,-0.2922006974328435,0.7701331784168348,0.0010587887442194965,-0.0033418333317971616,229,tightness_only
Post-Pandemic (2021-06+),cpi_forward_12,const,3.315572118555801,1.0078143384680374,3.2898640076859293,0.0010023581428075167,0.03382016122550735,0.011350862649356364,45,tightness_only
Post-Pandemic (2021-06+),cpi_forward_12,log_jolts_ratio,1.496023136505065,1.47070788070847,1.017212973513408,0.30905212563931705,0.03382016122550735,0.011350862649356364,45,tightness_only
Pre-2020,pce_forward_3,const,1.7386215880795288,0.27024614830879623,6.433474071544939,1.247198784844989e-10,8.526725957636039e-06,-0.004396722054985425,229,tightness_only
Pre-2020,pce_forward_3,log_jolts_ratio,-0.010149052022705064,0.27419583510781265,-0.03701388104131669,0.9704739378546029,8.526725957636039e-06,-0.004396722054985425,229,tightness_only
Post-Pandemic (2021-06+),pce_forward_3,const,2.6805492281493697,0.37617888420159884,7.125730179774872,1.035303554658223e-12,0.20310725905460492,0.18748191119293056,53,tightness_only
Post-Pandemic (2021-06+),pce_forward_3,log_jolts_ratio,3.3182796402589325,1.3989371326764852,2.3720005443777934,0.017692064647969165,0.20310725905460492,0.18748191119293056,53,tightness_only
Pre-2020,pce_forward_6,const,1.6145236836360484,0.2681197238608105,6.021652045539921,1.7264573377328274e-09,0.003321329264852957,-0.0010693256723062206,229,tightness_only
Pre-2020,pce_forward_6,log_jolts_ratio,-0.1513357599616763,0.23645999424396807,-0.6400057669185906,0.5221688501774143,0.003321329264852957,-0.0010693256723062206,229,tightness_only
Post-Pandemic (2021-06+),pce_forward_6,const,2.844664991929855,0.47316130279374663,6.012040661680777,1.832023530026207e-09,0.12677481667896395,0.10895389457037141,51,tightness_only
Post-Pandemic (2021-06+),pce_forward_6,log_jolts_ratio,2.4821490983241468,1.1456107355088507,2.166660124061809,0.030260779259089887,0.12677481667896395,0.10895389457037141,51,tightness_only
Pre-2020,pce_forward_12,const,1.5898208044520228,0.23659059306322278,6.71971266426127,1.8208325807304513e-11,0.011402271076151216,0.007047215001596774,229,tightness_only
Pre-2020,pce_forward_12,log_jolts_ratio,-0.19632822730327892,0.18140417661838615,-1.082269609019466,0.27913274592352433,0.011402271076151216,0.007047215001596774,229,tightness_only
Post-Pandemic (2021-06+),pce_forward_12,const,3.053390012246144,0.7326920944444447,4.167357660056837,3.081508087108925e-05,0.03323355683144069,0.01075061629263696,45,tightness_only
Post-Pandemic (2021-06+),pce_forward_12,log_jolts_ratio,1.1494812331677617,1.108058797722973,1.0373828857547185,0.29955745108551346,0.03323355683144069,0.01075061629263696,45,tightness_only
