target,target_col,horizon,signal,pre_slope,pre_slope_se,post_shift,post_shift_se,post_shift_p_value,post_slope,post_slope_se,post_slope_t_value,post_slope_p_value,row_count,r_squared
Wage,wage_target_3,3,log_jolts_ratio,0.5094600543276193,0.12572376901888077,0.685971260219362,0.44758954375904436,0.1253769061993763,1.1954313145469813,0.43487718160364935,2.748894090369881,0.0059796703985410815,103,0.7546737141333071
Wage,wage_target_3,3,unemployment_rate,-0.1607265226977565,0.03819731123735006,-0.09897605987220492,0.3252039603499438,0.7608607067862978,-0.2597025825699614,0.32113039501038904,-0.8087138016367453,0.41867978755380064,103,0.7479837321765374
Wage,wage_target_3,3,quits_rate,1.0683056574824332,0.2668184144684123,-0.03735657783840657,0.38892495512096914,0.9234801759108571,1.0309490796440266,0.2939639524409184,3.507059525780561,0.0004530877818762491,103,0.7622641636761798
Wage,wage_target_6,6,log_jolts_ratio,0.3542987148696295,0.12542046575694069,-0.2852622984765707,0.29465350430022597,0.33298046343264787,0.0690364163930588,0.21960788660686192,0.31436219099292434,0.7532459688124336,85,0.6718895416952204
Wage,wage_target_6,6,unemployment_rate,-0.08150087526272067,0.036454648583217474,-0.1143454016314438,0.2462662517859029,0.6424212440474393,-0.19584627689416445,0.23182761460197082,-0.8447927018117173,0.3982265901211308,85,0.6692023799707064
Wage,wage_target_6,6,quits_rate,0.6291074723590044,0.23722342834326834,-0.9727597395113475,0.8851347570533489,0.2717697209261736,-0.3436522671523431,0.9207319180969749,-0.3732381384829416,0.7089712132923653,85,0.6705215360541305
Wage,wage_target_12,12,log_jolts_ratio,0.7994194285338905,0.36362641827567577,-0.9390769785103086,0.779111714793291,0.22808075922832483,-0.1396575499764181,0.4382854352154841,-0.31864519957811316,0.749995574330184,31,0.7385660000233021
Wage,wage_target_12,12,unemployment_rate,-0.25865221661531235,0.12376250896852825,0.685029614836649,0.28996066228561657,0.01815255520276333,0.4263773982213367,0.1764018083906277,2.4170806530347924,0.015645550009069087,31,0.7382785058566865
Wage,wage_target_12,12,quits_rate,1.3068973343258339,0.27636044482432703,-0.8982258934005012,0.6580054686252218,0.17222991884780736,0.4086714409253327,0.5228857786447683,0.7815692405797307,0.4344677698185744,31,0.7299721957629662
CPI,cpi_target_3,3,log_jolts_ratio,-0.7671798399615366,0.3967859729716637,9.348226137880145,1.9522679262296176,1.6812213530413546e-06,8.581046297918608,1.702773210152339,5.039453432057991,4.6686320498423584e-07,30,0.710979789489443
CPI,cpi_target_3,3,unemployment_rate,0.1085198568695685,0.11439983440244308,-2.825719780644337,3.2470760151027536,0.3841718940773078,-2.7171999237747686,3.301744515224277,-0.8229588665161144,0.4105313851794983,30,0.6596096689424246
CPI,cpi_target_3,3,quits_rate,-1.7379447659998912,0.7727981679006118,6.895689465640463,1.672735188171901,3.749396266940225e-05,5.157744699640572,1.0926722716864503,4.720303455381013,2.354930579206993e-06,30,0.717804647979251
CPI,cpi_target_6,6,log_jolts_ratio,-0.4214825517950929,0.11289122206947817,0.36271309464603796,0.27594769516128376,0.18870255717505968,-0.05876945714905496,0.2301304916212659,-0.2553744909465278,0.7984338710287182,45,0.8584356653144917
CPI,cpi_target_6,6,unemployment_rate,0.12773353568642215,0.033781446423682276,0.2151230226348131,0.1131389881006148,0.0572490025283724,0.34285655832123524,0.13016738989066284,2.6339666072218675,0.008439378747060688,46,0.857036753294481
CPI,cpi_target_6,6,quits_rate,-1.0626790709401868,0.3689232285724264,1.8725844341674485,0.757760517986864,0.013465718296456758,0.8099053632272617,0.48181413800357425,1.680949767441763,0.09277267203983497,45,0.8655908730076292
CPI,cpi_target_12,12,log_jolts_ratio,0.172154035633182,0.09357627244972498,0.10732371887778858,0.5688185917524285,0.8503449684866402,0.27947775451097057,0.5358503585485684,0.5215593309818403,0.6019771857002043,40,0.8505920713668893
CPI,cpi_target_12,12,unemployment_rate,-0.03411596029673971,0.03247353573270292,-0.5685882068652757,0.17233632779216998,0.0009692834956883049,-0.6027041671620154,0.16717714247759635,-3.605182851135194,0.0003119332215364423,42,0.8566959191755681
CPI,cpi_target_12,12,quits_rate,0.2759725386070759,0.2128269363498265,-0.0969607982683498,0.5430865928593567,0.8583016316269041,0.17901174033872608,0.43298209674799226,0.4134391275834112,0.6792849124520435,40,0.8490624829537401
PCE,pce_target_3,3,log_jolts_ratio,-0.35210721015675006,0.3373527073321641,-15.309345102176692,5.04541422942341,0.002410874709125768,-15.661452312333443,4.8120356394510075,-3.2546417952382867,0.001135354673450717,28,0.4501887615067419
PCE,pce_target_3,3,unemployment_rate,0.23450782319490182,0.11610625523691345,6.8301597721076455,2.1150962824323654,0.001241184014410955,7.064667595302547,2.034906605816333,3.4717404597880552,0.0005170959999452052,28,0.46529547753392975
PCE,pce_target_3,3,quits_rate,-0.28968533565862886,0.7635584543503157,7.982967042684617,1.8362354958512597,1.3772089605688674e-05,7.693281707025989,1.9885622737276996,3.8687657956038723,0.00010938764954437907,28,0.4447952068551412
PCE,pce_target_6,6,log_jolts_ratio,0.15663237634688848,0.17217769762519117,1.0585267960420883,0.528201197590099,0.045067708758354044,1.2151591723889767,0.4230566806816077,2.872331836082043,0.0040745486950914955,50,0.9172651574888975
PCE,pce_target_6,6,unemployment_rate,-0.05278531435393591,0.03823135304864979,-0.789862225435467,0.2793793609572057,0.00469565200906807,-0.8426475397894029,0.2793386323560723,-3.016580745320189,0.00255643121709892,50,0.9154224138434728
PCE,pce_target_6,6,quits_rate,0.08396447015665787,0.25090957442747797,0.9092509925574969,0.4968303091209456,0.0672344321136856,0.9932154627141547,0.35450582568729855,2.8016901013927127,0.005083568050409104,50,0.9157091794087115
PCE,pce_target_12,12,log_jolts_ratio,0.1444949954924919,0.07035734289509342,-2.069707483012781,0.3344794023121379,6.099134651962568e-10,-1.9252124875202892,0.3266616475091866,-5.893598168625373,3.778754420480368e-09,44,0.9457730525965575
PCE,pce_target_12,12,unemployment_rate,0.0023378190993529092,0.04142676558054164,0.42348080581471514,0.15318933686992728,0.005702278844532554,0.4258186249140681,0.17019908315663126,2.50188553907893,0.01235338564899724,46,0.9377304563130766
PCE,pce_target_12,12,quits_rate,0.5444492834271702,0.10132774662933852,-2.2180607143991327,0.6523330399337139,0.0006733736940727906,-1.6736114309719623,0.6258689323352822,-2.674060565248504,0.007493891627611271,44,0.9415514045354761
