target,target_col,horizon,signal,pre_coefficient,pre_standard_error,pre_p_value,post_shift,post_shift_standard_error,post_shift_p_value,post_coefficient,post_standard_error,post_t_value,post_p_value,row_count,r_squared
Wage,wage_target_3,3,log_jolts_ratio,0.5094600543276193,0.12572376901888077,5.073447082322911e-05,0.685971260219362,0.44758954375904436,0.1253769061993763,1.1954313145469813,0.43487718160364935,2.748894090369881,0.0059796703985410815,103,0.7546737141333071
Wage,wage_target_6,6,log_jolts_ratio,0.3542987148696295,0.12542046575694069,0.004729720871496838,-0.2852622984765707,0.29465350430022597,0.33298046343264787,0.0690364163930588,0.21960788660686192,0.31436219099292434,0.7532459688124336,85,0.6718895416952204
Wage,wage_target_12,12,log_jolts_ratio,0.7994194285338905,0.36362641827567577,0.027916088886641124,-0.9390769785103086,0.779111714793291,0.22808075922832483,-0.1396575499764181,0.4382854352154841,-0.31864519957811316,0.749995574330184,31,0.7385660000233021
CPI,cpi_target_3,3,log_jolts_ratio,-0.7671798399615366,0.3967859729716637,0.0531764441030982,9.348226137880145,1.9522679262296176,1.6812213530413546e-06,8.581046297918608,1.702773210152339,5.039453432057991,4.6686320498423584e-07,30,0.710979789489443
CPI,cpi_target_6,6,log_jolts_ratio,-0.4214825517950929,0.11289122206947817,0.00018881610411697862,0.36271309464603796,0.27594769516128376,0.18870255717505968,-0.05876945714905496,0.2301304916212659,-0.2553744909465278,0.7984338710287182,45,0.8584356653144917
CPI,cpi_target_12,12,log_jolts_ratio,0.172154035633182,0.09357627244972498,0.06580951947510265,0.10732371887778858,0.5688185917524285,0.8503449684866402,0.27947775451097057,0.5358503585485684,0.5215593309818403,0.6019771857002043,40,0.8505920713668893
PCE,pce_target_3,3,log_jolts_ratio,-0.35210721015675006,0.3373527073321641,0.2966074876490249,-15.309345102176692,5.04541422942341,0.002410874709125768,-15.661452312333443,4.8120356394510075,-3.2546417952382867,0.001135354673450717,28,0.4501887615067419
PCE,pce_target_6,6,log_jolts_ratio,0.15663237634688848,0.17217769762519117,0.3629736214458269,1.0585267960420883,0.528201197590099,0.045067708758354044,1.2151591723889767,0.4230566806816077,2.872331836082043,0.0040745486950914955,50,0.9172651574888975
PCE,pce_target_12,12,log_jolts_ratio,0.1444949954924919,0.07035734289509342,0.04000181796282501,-2.069707483012781,0.3344794023121379,6.099134651962568e-10,-1.9252124875202892,0.3266616475091866,-5.893598168625373,3.778754420480368e-09,44,0.9457730525965575
