target,target_col,horizon,regime,term,coefficient,t_value,p_value,row_count
Wage,wage_target_3,3,pre,const,1.9748871094567595,6.143612257512304,8.066561561308829e-10,87
Wage,wage_target_3,3,pre,log_jolts_ratio,0.5547058423876478,4.23781667654937,2.2570394087343168e-05,87
Wage,wage_target_3,3,pre,wage_target_3_lag,0.22394804988275624,1.9651637179869044,0.04939529177572304,87
Wage,wage_target_3,3,pre,fed_funds,0.11560770106597656,2.6157893810868926,0.008902145090559069,87
Wage,wage_target_3,3,pre,hy_oas,0.0292067993365815,1.931239561624796,0.053453433668753034,87
Wage,wage_target_3,3,post,const,1.6784610464309901,1.0205576031023678,0.30746408492462207,16
Wage,wage_target_3,3,post,log_jolts_ratio,0.15491864811703993,0.10282407482148888,0.9181025975918786,16
Wage,wage_target_3,3,post,wage_target_3_lag,0.44888441682863633,2.926543848836425,0.003427511850842564,16
Wage,wage_target_3,3,post,fed_funds,-0.0746454828276154,-1.2588725788953397,0.20807635968038252,16
Wage,wage_target_3,3,post,hy_oas,0.28541711739988396,0.631229280389028,0.5278906194814597,16
Wage,wage_target_6,6,pre,const,0.4549060705542769,0.3915721773118137,0.6953743487906772,67
Wage,wage_target_6,6,pre,log_jolts_ratio,0.26401485073609277,1.2685860629764405,0.2045887376834442,67
Wage,wage_target_6,6,pre,wage_target_6_lag,1.0039899257091167,1.832576466218018,0.06686558059013681,67
Wage,wage_target_6,6,pre,fed_funds,-0.06397251404115528,-0.5381752437299269,0.5904560695589982,67
Wage,wage_target_6,6,pre,hy_oas,-0.035728306045580784,-0.9523882743900576,0.34090010391192826,67
Wage,wage_target_6,6,post,const,2.0021364177498104,2.6615323159786652,0.007778587370954304,18
Wage,wage_target_6,6,post,log_jolts_ratio,1.1029998756889592,3.892584072646314,9.918211177051283e-05,18
Wage,wage_target_6,6,post,wage_target_6_lag,0.7025588191859908,5.94756880066533,2.721543875504647e-09,18
Wage,wage_target_6,6,post,fed_funds,0.033234901697652225,0.7337321639423441,0.46311199154977534,18
Wage,wage_target_6,6,post,hy_oas,-0.33187865543044204,-4.066864088973789,4.7650014172592996e-05,18
Wage,wage_target_12,12,pre,const,2.576017510891715,2.4631381032669495,0.013772685492739127,22
Wage,wage_target_12,12,pre,log_jolts_ratio,1.427227319916518,2.400354142250825,0.016379216889641907,22
Wage,wage_target_12,12,pre,wage_target_12_lag,-0.21549994572504122,-0.4482400635789684,0.6539799516264715,22
Wage,wage_target_12,12,pre,fed_funds,0.27905115476275655,1.6531588006771665,0.09829854885300786,22
Wage,wage_target_12,12,pre,hy_oas,0.2855465518302568,1.7371719777664074,0.0823568195505871,22
Wage,wage_target_12,12,post,const,1.8228393956204862,4.812545802443942,1.4901970499637218e-06,9
Wage,wage_target_12,12,post,log_jolts_ratio,-0.7801167962310869,-1.7425853219462304,0.08140607578145456,9
Wage,wage_target_12,12,post,wage_target_12_lag,0.5514783978893487,13.630444349326341,2.6396814625973205e-42,9
Wage,wage_target_12,12,post,fed_funds,-0.0948241630450899,-4.462124410471579,8.115108540978185e-06,9
Wage,wage_target_12,12,post,hy_oas,0.12529838800847615,1.0037893169616106,0.3154801747523487,9
CPI,cpi_target_3,3,pre,const,-0.6454715242731494,-1.3139220119313104,0.1888724503379,26
CPI,cpi_target_3,3,pre,log_jolts_ratio,-0.889705651159816,-2.0745380460213902,0.03802936913643674,26
CPI,cpi_target_3,3,pre,cpi_target_3_lag,0.620611002745856,4.7318973539038565,2.224308906102413e-06,26
CPI,cpi_target_3,3,pre,fed_funds,0.14635112547077506,0.8093482870704519,0.4183148386493538,26
CPI,cpi_target_3,3,pre,hy_oas,0.09514575074144399,1.3556891369073363,0.1751980972075211,26
CPI,cpi_target_3,3,post,const,-6.979368598978244,-120375450708348.25,0.0,4
CPI,cpi_target_3,3,post,log_jolts_ratio,5.328491868504354,128427024055100.33,0.0,4
CPI,cpi_target_3,3,post,cpi_target_3_lag,1.6595650153358763,161062440672248.25,0.0,4
CPI,cpi_target_3,3,post,fed_funds,0.8043005332450388,52232506604498.93,0.0,4
CPI,cpi_target_3,3,post,hy_oas,0.07713606321054378,5020678015548.194,0.0,4
CPI,cpi_target_6,6,pre,const,-0.10404267210626778,-0.47879971049779196,0.6320811226606344,33
CPI,cpi_target_6,6,pre,log_jolts_ratio,-0.5175687780705489,-3.9732771238947437,7.089049014101586e-05,33
CPI,cpi_target_6,6,pre,cpi_target_6_lag,0.8458015461501975,29.207335848672315,1.5648635318013377e-187,33
CPI,cpi_target_6,6,pre,fed_funds,0.057285340030924156,0.7708448836622375,0.44079887960662567,33
CPI,cpi_target_6,6,pre,hy_oas,0.005118348557253002,0.09507034537207701,0.9242589523267973,33
CPI,cpi_target_6,6,post,const,0.2917971813603337,0.44711435837835123,0.6547924924243917,12
CPI,cpi_target_6,6,post,log_jolts_ratio,-0.7009087104294611,-0.851598857230248,0.3944367740913597,12
