target,target_col,horizon,model,mae_Default,mae_Tuned,oos_r2_vs_persistence_Default,oos_r2_vs_persistence_Tuned,rmse_Default,rmse_Tuned,rmse_gain,mae_gain,oos_r2_gain
CPI,cpi_target_3,3,GradientBoosting,3.4074860739113113,2.382464043740363,0.2182326470230822,0.5734828826047843,4.966862280320424,3.6686948140303683,1.2981674662900553,1.0250220301709483,0.3552502355817021
CPI,cpi_target_3,3,Lasso,2.45638049537348,2.1672229373077023,0.5734499533791131,0.650117351768609,3.668836431966535,3.3228027071637314,0.3460337248028038,0.2891575580657775,0.07666739838949588
CPI,cpi_target_3,3,ElasticNet,2.5208226844255552,2.322779865936042,0.5547311843077505,0.6073684317878043,3.748473918003897,3.519945671662952,0.22852824634094526,0.1980428184895131,0.05263724748005383
CPI,cpi_target_3,3,Ridge,2.813335764316292,2.704996573273615,0.46960812520173734,0.5032262018286298,4.091115911475994,3.9593390547622787,0.13177685671371497,0.10833919104267675,0.033618076626892424
CPI,cpi_target_3,3,RandomForest,2.345808824538748,2.3339796863798346,0.5547733002985258,0.5811022520072644,3.748296638099449,3.635778071195678,0.11251856690377116,0.011829138158913288,0.026328951708738613
CPI,cpi_target_3,3,Huber,2.6723264435793164,2.8377154665930426,0.480378964897467,0.42095225399474423,4.049363043656423,4.274649798201904,-0.22528675454548086,-0.16538902301372627,-0.05942671090272278
CPI,cpi_target_6,6,Lasso,3.9762286317419426,2.8634525392442276,0.1279827499808146,0.4719058158587319,5.379664409625054,4.18647342701658,1.1931909826084741,1.112776092497715,0.3439230658779173
CPI,cpi_target_6,6,GradientBoosting,3.6113161233088,2.741885063687391,0.10482854200172831,0.4457709023799178,5.450618172921791,4.288814950007337,1.161803222914454,0.8694310596214092,0.3409423603781895
CPI,cpi_target_6,6,ElasticNet,3.9151384973817405,3.6844598649664086,0.15195611418826005,0.2278270826504173,5.305200602505821,5.062323904271278,0.24287669823454294,0.23067863241533182,0.07587096846215724
CPI,cpi_target_6,6,Ridge,4.119401176452937,3.8623887375373007,0.14168211783574036,0.19816292367873678,5.337239935636505,5.158645846284019,0.17859408935248577,0.25701243891563585,0.05648080584299642
CPI,cpi_target_6,6,Huber,3.2037717584028407,3.192188856079042,0.3635805228201059,0.3910930845270436,4.595834466769458,4.49539750109512,0.10043696567433802,0.01158290232379855,0.02751256170693772
CPI,cpi_target_6,6,RandomForest,3.1836771194878586,3.356081310812912,0.28100292661063897,0.23801337829968283,4.88490596504003,5.02882265079991,-0.14391668575987993,-0.17240419132505336,-0.04298954831095614
CPI,cpi_target_12,12,Lasso,3.7718017669135304,2.6035977480585784,-1.2498524350705669,-0.2706488597910295,4.6929449676829025,3.5268031488271316,1.1661418188557708,1.168204018854952,0.9792035752795374
CPI,cpi_target_12,12,GradientBoosting,3.332111622330546,2.4407926827146325,-0.9725958001686208,-0.27239054430818466,4.394277673155498,3.5292194241489705,0.8650582490065277,0.8913189396159136,0.7002052558604361
CPI,cpi_target_12,12,ElasticNet,3.689551962139066,3.363015786166073,-1.1708057350233187,-0.8744593989460372,4.609766467874131,4.283575868613204,0.32619059926092664,0.326536175972993,0.29634633607728156
CPI,cpi_target_12,12,Ridge,3.869020862687101,3.6034942233103595,-1.2057292932286625,-1.0404603283250946,4.646699093570835,4.469228113715646,0.17747097985518945,0.2655266393767417,0.1652689649035679
CPI,cpi_target_12,12,Huber,3.8441493235907513,3.8173916890599187,-1.0653547795221985,-1.0763987630062464,4.496408667733035,4.508414366844096,-0.012005699111060864,0.026757634530832686,-0.011043983484047892
CPI,cpi_target_12,12,RandomForest,2.4928912910297023,2.459162227569414,-0.18005394601667857,-0.1907196521869663,3.3987512088746796,3.4140761607469847,-0.015324951872305093,0.033729063460288256,-0.010665706170287725
PCE,pce_target_3,3,GradientBoosting,2.7285766306632095,1.8876447651873565,0.2064768063150647,0.6025038019406497,3.7800527108536524,2.6753741891127785,1.1046785217408739,0.8409318654758531,0.39602699562558497
PCE,pce_target_3,3,Lasso,2.3312928820651115,1.8244420749467791,0.44339602415330803,0.6275617800935002,3.1658562803443013,2.5896744047800997,0.5761818755642016,0.5068508071183324,0.18416575594019213
PCE,pce_target_3,3,ElasticNet,2.3687040604173037,1.9466169613326845,0.43127333122862477,0.5714198046198573,3.200146350778714,2.7780118410857484,0.4221345096929654,0.4220870990846193,0.14014647339123254
PCE,pce_target_3,3,RandomForest,1.9933061691164102,1.9161191019837953,0.5157962462948009,0.5825462634617323,2.95278699392728,2.741714441681062,0.21107255224621824,0.07718706713261492,0.06675001716693141
