target,target_col,horizon,model,split,rmse,mae,oos_r2_vs_persistence,row_count,train_end,test_start,test_end
Wage,wage_target_6,6,AR,Expanding Window,2.2143588014151776,1.3091071937908656,0.4174493529537838,15,2018-12-01,2019-01-01,2021-09-01
Wage,wage_target_6,6,OLS,Expanding Window,2.239550833338182,1.6330812580808107,0.40411897991611545,15,2018-12-01,2019-01-01,2021-09-01
Wage,wage_target_6,6,Ridge,Expanding Window,2.2479174640296495,1.646820343006307,0.3996584167239198,15,2018-12-01,2019-01-01,2021-09-01
Wage,wage_target_6,6,Lasso,Expanding Window,2.2631775711471405,1.6677335255096384,0.3914798488518251,15,2018-12-01,2019-01-01,2021-09-01
Wage,wage_target_6,6,ElasticNet,Expanding Window,2.267218183460454,1.6758080763334182,0.3893050403196494,15,2018-12-01,2019-01-01,2021-09-01
Wage,wage_target_6,6,Huber,Expanding Window,2.316947815577163,1.783710150510612,0.3622210103514768,15,2018-12-01,2019-01-01,2021-09-01
Wage,wage_target_6,6,RandomForest,Expanding Window,2.8343857508953416,2.4155989978902586,0.04554465229053062,15,2018-12-01,2019-01-01,2021-09-01
Wage,wage_target_6,6,GradientBoosting,Expanding Window,2.8843352639193367,2.461565495914738,0.011608088028522534,15,2018-12-01,2019-01-01,2021-09-01
Wage,wage_target_6,6,Persistence,Expanding Window,1.1675921320223104,1.0976673040532543,0.0,15,2021-09-01,2021-11-01,2025-08-01
Wage,wage_target_6,6,AR,Expanding Window,0.5146223426924922,0.4454834070105647,0.8057348242101305,15,2021-09-01,2021-11-01,2025-08-01
Wage,wage_target_6,6,OLS,Expanding Window,0.32367300034404684,0.2821994900230387,0.9231523435691901,15,2021-09-01,2021-11-01,2025-08-01
Wage,wage_target_6,6,Ridge,Expanding Window,0.3197862375192315,0.27837999280821296,0.9249868817758153,15,2021-09-01,2021-11-01,2025-08-01
Wage,wage_target_6,6,Lasso,Expanding Window,0.3169917636223302,0.27090382271896657,0.9262921681036826,15,2021-09-01,2021-11-01,2025-08-01
Wage,wage_target_6,6,ElasticNet,Expanding Window,0.3140647067166552,0.26941609471524913,0.9276470987633557,15,2021-09-01,2021-11-01,2025-08-01
Wage,wage_target_6,6,Huber,Expanding Window,0.377264648142008,0.3115070179756683,0.8955977392909755,15,2021-09-01,2021-11-01,2025-08-01
Wage,wage_target_6,6,RandomForest,Expanding Window,0.8658755998319765,0.764846404592911,0.45004306430429575,15,2021-09-01,2021-11-01,2025-08-01
Wage,wage_target_6,6,GradientBoosting,Expanding Window,1.9405509707241686,1.5707404952338744,-1.7622805749097297,15,2021-09-01,2021-11-01,2025-08-01
